customer_id,segment,region,acquisition_channel,first_transaction_date,last_transaction_date,transaction_span_days,total_revenue,total_cost,contribution_margin,contribution_margin_pct,transaction_count,avg_revenue_per_transaction,revenue_per_transaction_span_day
C0000227,Startup,North America,email,2023-02-25,2023-08-10,167,612.34,336.59,275.75,0.450322,4,153.08,3.67
C0000240,Startup,North America,email,2023-07-27,2023-11-19,116,941.51,539.52,401.99,0.426963,6,156.92,8.12
C0000261,Mid-Market,LATAM,email,2023-12-01,2024-06-08,191,5724.73,3603.1,2121.63,0.370608,8,715.59,29.97
C0000282,SMB,LATAM,email,2023-12-08,2025-03-22,471,3693.13,2222.93,1470.2,0.398091,17,217.24,7.84
C0000357,Startup,LATAM,email,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0
C0000374,SMB,LATAM,email,2024-05-20,2025-01-30,256,1820.35,1122.96,697.39,0.383108,6,303.39,7.11
C0000377,Mid-Market,EMEA,email,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0
C0000414,Startup,EMEA,email,2025-11-26,2025-11-26,1,127.92,75.26,52.66,0.411664,1,127.92,127.92
C0000420,Startup,North America,email,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0
C0000460,SMB,EMEA,email,2025-05-01,2025-10-13,166,1688.12,893.42,794.7,0.47076,8,211.02,10.17
C0000465,Mid-Market,APAC,email,2025-05-20,2025-10-19,153,8118.6,4658.81,3459.79,0.426156,15,541.24,53.06
C0000476,SMB,LATAM,email,2024-05-29,2025-11-20,541,3202.08,2052.67,1149.41,0.358957,13,246.31,5.92
C0000481,Mid-Market,APAC,email,2024-10-14,2025-03-13,151,2072.24,1279.99,792.25,0.382316,3,690.75,13.72
C0000483,SMB,North America,email,2025-03-11,2025-05-04,55,885.18,607.12,278.06,0.314128,3,295.06,16.09
C0000489,SMB,North America,email,2025-02-28,2025-10-29,244,1956.95,1142.73,814.22,0.416066,7,279.56,8.02
C0000499,Mid-Market,LATAM,email,2024-07-15,2024-11-09,118,2444.64,1550.94,893.7,0.365575,7,349.23,20.72
C0000533,Startup,LATAM,email,2024-08-24,2025-03-17,206,608.24,356.87,251.37,0.413274,8,76.03,2.95
C0000541,Mid-Market,APAC,email,2025-12-26,2025-12-31,6,1490.62,1139.7,350.92,0.235419,3,496.87,248.44
C0000542,Mid-Market,North America,email,2025-02-10,2025-11-23,287,27868.86,16915.24,10953.62,0.393042,19,1466.78,97.1
C0000609,Enterprise,North America,email,2025-08-28,2025-12-24,119,18541.51,14195.07,4346.44,0.234417,9,2060.17,155.81
C0000632,Mid-Market,EMEA,email,2025-09-05,2025-12-24,111,9708.02,7203.01,2505.01,0.258035,11,882.55,87.46
C0000667,SMB,EMEA,email,2025-08-25,2025-11-27,95,569.66,301.28,268.38,0.471123,3,189.89,6.0
C0000668,Mid-Market,APAC,email,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0
C0000672,Mid-Market,APAC,email,2025-03-13,2025-08-28,169,4040.61,2511.67,1528.94,0.378393,9,448.96,23.91
C0000683,Startup,APAC,email,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0
C0000703,Enterprise,EMEA,email,2023-10-24,2025-05-03,558,50234.0,37879.8,12354.2,0.245933,29,1732.21,90.03
C0000722,Mid-Market,EMEA,email,2024-10-11,2025-03-03,144,7514.35,5085.79,2428.56,0.32319,9,834.93,52.18
C0000733,Mid-Market,EMEA,email,2023-10-12,2023-11-11,31,3458.82,1862.93,1595.89,0.461397,2,1729.41,111.57
C0000751,SMB,LATAM,email,2024-03-21,2024-04-29,40,456.28,259.84,196.44,0.430525,2,228.14,11.41
C0000815,SMB,North America,email,2023-10-22,2024-04-16,178,2999.58,2040.98,958.6,0.319578,9,333.29,16.85
C0000840,SMB,North America,email,2025-04-10,2025-08-03,116,1622.55,910.65,711.9,0.438754,6,270.42,13.99
C0000926,SMB,North America,email,2024-03-24,2025-06-08,442,4888.19,2708.21,2179.98,0.445969,7,698.31,11.06
C0000952,SMB,North America,email,2024-03-12,2024-04-17,37,1161.58,574.68,586.9,0.50526,3,387.19,31.39
C0000964,Startup,North America,email,2023-09-11,2023-10-10,30,2315.17,1270.9,1044.27,0.451055,3,771.72,77.17
C0000973,Startup,APAC,email,2023-08-24,2023-10-02,40,301.81,173.33,128.48,0.425698,4,75.45,7.55
C0000983,Startup,EMEA,email,2025-06-29,2025-09-02,66,243.22,186.5,56.72,0.233205,2,121.61,3.69
C0000986,SMB,APAC,email,2025-11-20,2025-11-30,11,241.72,149.87,91.85,0.379985,2,120.86,21.97
C0001008,SMB,EMEA,email,2024-05-31,2025-02-08,254,2679.84,1508.99,1170.85,0.43691,6,446.64,10.55
C0001024,SMB,North America,email,2025-01-29,2025-10-29,274,2773.82,1850.95,922.87,0.332707,12,231.15,10.12
C0001035,Enterprise,North America,email,2024-12-25,2025-11-26,337,18306.24,11590.24,6716.0,0.366869,15,1220.42,54.32
C0001049,SMB,EMEA,email,2025-09-28,2025-12-26,90,992.45,747.94,244.51,0.24637,4,248.11,11.03
C0001060,SMB,North America,email,2025-06-05,2025-06-12,8,455.41,239.28,216.13,0.474583,3,151.8,56.93
C0001068,Mid-Market,APAC,email,2025-05-26,2025-12-13,202,8177.07,5312.12,2864.95,0.350364,13,629.01,40.48
C0001084,SMB,EMEA,email,2025-09-20,2025-11-09,51,896.0,514.56,381.44,0.425714,3,298.67,17.57
C0001098,SMB,North America,email,2025-10-13,2025-11-22,41,966.19,522.26,443.93,0.459464,3,322.06,23.57
C0001101,Startup,EMEA,email,2023-02-01,2024-02-22,387,458.15,314.7,143.45,0.313107,4,114.54,1.18
C0001128,SMB,EMEA,email,2025-05-29,2025-12-06,192,1408.52,817.85,590.67,0.419355,7,201.22,7.34
C0001166,SMB,North America,email,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0
C0001252,SMB,APAC,email,2023-07-28,2025-10-01,797,6370.42,3858.77,2511.65,0.394268,25,254.82,7.99
C0001262,SMB,APAC,email,2024-08-30,2025-05-19,263,2148.28,1177.38,970.9,0.451943,8,268.54,8.17
C0001280,SMB,APAC,email,2025-04-23,2025-12-18,240,2500.6,1616.96,883.64,0.353371,7,357.23,10.42
C0001284,SMB,North America,email,2025-04-13,2025-12-13,245,2609.63,1688.53,921.1,0.352962,10,260.96,10.65
C0001300,Mid-Market,EMEA,email,2024-09-03,2024-09-03,1,355.97,256.74,99.23,0.278759,1,355.97,355.97
C0001314,Mid-Market,LATAM,email,2023-01-26,2024-01-16,356,18498.87,11870.18,6628.69,0.358329,19,973.62,51.96
C0001319,SMB,North America,email,2025-07-26,2025-12-09,137,1422.34,784.71,637.63,0.448296,7,203.19,10.38
C0001342,SMB,LATAM,email,2025-11-15,2025-12-08,24,502.53,369.25,133.28,0.265218,2,251.26,20.94
C0001344,Mid-Market,LATAM,email,2025-04-06,2025-12-07,246,9664.57,6657.69,3006.88,0.311124,10,966.46,39.29
C0001370,Mid-Market,North America,email,2024-08-09,2025-12-15,494,16325.04,11550.75,4774.29,0.292452,23,709.78,33.05
C0001416,Mid-Market,North America,email,2025-08-06,2025-12-27,144,5628.3,3653.81,1974.49,0.350815,8,703.54,39.09
C0001436,Mid-Market,EMEA,email,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0
C0001443,SMB,APAC,email,2023-10-27,2024-07-01,249,2457.21,1507.76,949.45,0.386394,7,351.03,9.87
C0001461,Startup,EMEA,email,2025-07-17,2025-10-17,93,103.68,58.16,45.52,0.439043,2,51.84,1.11
C0001481,Mid-Market,North America,email,2025-01-10,2025-12-09,334,12563.07,9270.8,3292.27,0.262059,19,661.21,37.61
C0001489,Startup,EMEA,email,2025-12-24,2025-12-31,8,136.66,77.15,59.51,0.43546,2,68.33,17.08
C0001493,SMB,North America,email,2025-08-24,2025-08-24,1,220.95,184.14,36.81,0.166599,1,220.95,220.95
C0001520,SMB,North America,email,2023-12-30,2025-01-05,373,5455.55,3499.86,1955.69,0.358477,13,419.66,14.63
C0001527,Startup,North America,email,2024-08-08,2025-12-20,500,1799.17,1045.33,753.84,0.418993,17,105.83,3.6
C0001540,SMB,North America,email,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0
C0001588,SMB,North America,email,2025-02-22,2025-12-02,284,1612.69,984.83,627.86,0.389325,5,322.54,5.68
C0001619,SMB,APAC,email,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0
C0001633,SMB,North America,email,2025-05-03,2025-10-19,170,737.8,480.4,257.4,0.348875,5,147.56,4.34
C0001637,Mid-Market,APAC,email,2024-09-11,2024-12-01,82,3484.83,2070.23,1414.6,0.405931,5,696.97,42.5
C0001644,Startup,APAC,email,2024-01-13,2025-05-18,492,706.83,431.34,275.49,0.389754,9,78.54,1.44
C0001663,SMB,EMEA,email,2025-08-06,2025-08-06,1,224.45,92.29,132.16,0.588817,1,224.45,224.45
C0001690,SMB,LATAM,email,2024-08-30,2025-02-13,168,671.45,392.1,279.35,0.41604,5,134.29,4.0
C0001707,Mid-Market,LATAM,email,2023-06-29,2023-09-28,92,5641.25,3401.06,2240.19,0.397109,9,626.81,61.32
C0001725,SMB,North America,email,2024-12-21,2025-10-21,305,2764.53,1545.06,1219.47,0.441113,10,276.45,9.06
C0001726,SMB,EMEA,email,2023-05-17,2024-02-04,264,3481.39,2167.32,1314.07,0.377456,8,435.17,13.19
C0001734,Enterprise,EMEA,email,2024-03-19,2024-07-02,106,27340.31,22371.35,4968.96,0.181745,9,3037.81,257.93
C0001785,Startup,North America,email,2024-03-28,2024-12-09,257,716.83,394.13,322.7,0.450176,4,179.21,2.79
C0001794,Startup,APAC,email,2025-05-22,2025-05-22,1,42.9,23.72,19.18,0.447086,1,42.9,42.9
C0001821,Enterprise,EMEA,email,2025-11-22,2025-12-19,28,20839.29,15467.42,5371.87,0.257776,5,4167.86,744.26
C0001870,SMB,North America,email,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0
C0001875,Startup,North America,email,2025-10-30,2025-12-11,43,333.47,202.19,131.28,0.393679,3,111.16,7.76
C0001896,Mid-Market,EMEA,email,2023-11-29,2025-12-19,752,23176.35,16392.59,6783.76,0.292702,36,643.79,30.82
C0001916,Mid-Market,North America,email,2024-01-26,2024-09-03,222,8125.37,5511.62,2613.75,0.321678,13,625.03,36.6
C0001946,Mid-Market,North America,email,2025-11-18,2025-12-01,14,1016.57,569.36,447.21,0.439921,2,508.28,72.61
C0001947,Mid-Market,North America,email,2024-01-19,2024-05-11,114,4212.85,2317.28,1895.57,0.44995,5,842.57,36.95
C0001956,Enterprise,North America,email,2025-12-15,2025-12-25,11,6212.34,4314.79,1897.55,0.305449,3,2070.78,564.76
C0001960,Mid-Market,EMEA,email,2025-03-26,2025-07-07,104,3069.26,2119.49,949.77,0.309446,3,1023.09,29.51
C0001963,Enterprise,LATAM,email,2025-02-26,2025-12-19,297,47237.37,33569.15,13668.22,0.289352,24,1968.22,159.05
C0001988,Mid-Market,North America,email,2025-05-22,2025-10-11,143,7504.64,5961.49,1543.15,0.205626,7,1072.09,52.48
C0002004,SMB,North America,email,2025-04-22,2025-10-01,163,2502.16,1717.72,784.44,0.313505,4,625.54,15.35
C0002015,Startup,EMEA,email,2024-10-25,2025-05-13,201,750.61,537.93,212.68,0.283343,4,187.65,3.73
C0002023,SMB,EMEA,email,2023-05-12,2024-02-13,278,1675.71,1017.36,658.35,0.392878,8,209.46,6.03
C0002033,Mid-Market,LATAM,email,2024-06-23,2025-12-22,548,20751.38,14123.86,6627.52,0.319377,31,669.4,37.87
C0002041,Mid-Market,APAC,email,2024-05-24,2025-07-14,417,14621.56,9689.4,4932.16,0.337321,15,974.77,35.06
C0002071,SMB,APAC,email,2025-09-24,2025-10-04,11,994.46,756.86,237.6,0.238924,2,497.23,90.41
C0002075,Startup,APAC,email,2025-01-17,2025-02-08,23,142.58,78.55,64.03,0.449081,2,71.29,6.2
C0002086,SMB,APAC,email,2024-05-12,2024-05-12,1,388.36,309.16,79.2,0.203934,1,388.36,388.36
C0002125,Mid-Market,EMEA,email,2024-10-20,2025-11-30,407,10462.77,6614.6,3848.17,0.367796,20,523.14,25.71
C0002134,SMB,LATAM,email,2025-11-27,2025-11-27,1,106.24,59.4,46.84,0.440889,1,106.24,106.24
C0002174,SMB,North America,email,2023-10-27,2023-11-26,31,1277.81,761.41,516.4,0.404129,5,255.56,41.22
C0002232,Mid-Market,EMEA,email,2025-04-25,2025-12-10,230,7921.39,5906.79,2014.6,0.254324,9,880.15,34.44
C0002273,Startup,North America,email,2025-10-11,2025-10-11,1,80.79,41.47,39.32,0.486694,1,80.79,80.79
C0002287,Mid-Market,LATAM,email,2025-12-16,2025-12-16,1,379.2,239.67,139.53,0.367959,1,379.2,379.2
C0002302,Mid-Market,North America,email,2025-08-20,2025-11-22,95,3935.15,2491.26,1443.89,0.366921,4,983.79,41.42
C0002303,SMB,EMEA,email,2024-11-25,2025-05-24,181,1208.73,682.53,526.2,0.435333,4,302.18,6.68
C0002330,Mid-Market,North America,email,2025-02-12,2025-07-21,160,3156.11,2009.09,1147.02,0.363428,10,315.61,19.73
C0002332,SMB,EMEA,email,2024-08-16,2025-03-27,224,3532.48,2394.72,1137.76,0.322085,9,392.5,15.77
C0002350,Startup,North America,email,2023-02-20,2025-07-11,873,4567.83,2777.16,1790.67,0.392018,28,163.14,5.23
C0002374,SMB,EMEA,email,2024-04-15,2025-10-18,552,4542.31,2568.06,1974.25,0.434636,15,302.82,8.23
C0002400,SMB,North America,email,2025-02-25,2025-02-25,1,21.32,11.72,9.6,0.450281,1,21.32,21.32
C0002452,SMB,LATAM,email,2025-09-04,2025-09-29,26,3454.36,2316.16,1138.2,0.329497,3,1151.45,132.86
C0002487,Enterprise,EMEA,email,2025-07-23,2025-12-16,147,20101.75,15484.72,4617.03,0.229683,6,3350.29,136.75
C0002498,Mid-Market,North America,email,2024-02-04,2024-10-06,246,11878.75,8269.03,3609.72,0.30388,15,791.92,48.29
C0002512,Startup,EMEA,email,2024-09-30,2025-01-05,98,337.72,164.16,173.56,0.513917,3,112.57,3.45
C0002517,Startup,EMEA,email,2023-11-09,2024-06-02,207,535.81,323.7,212.11,0.395868,6,89.3,2.59
C0002558,Mid-Market,North America,email,2024-04-21,2024-07-17,88,3800.51,2175.19,1625.32,0.427658,6,633.42,43.19
C0002572,Startup,EMEA,email,2025-02-26,2025-04-10,44,399.8,224.6,175.2,0.438219,3,133.27,9.09
C0002586,Startup,EMEA,email,2024-11-18,2025-12-21,399,316.89,172.28,144.61,0.456341,6,52.82,0.79
C0002604,Mid-Market,EMEA,email,2025-07-04,2025-12-29,179,22192.08,13103.58,9088.5,0.409538,11,2017.46,123.98
C0002628,Enterprise,North America,email,2024-07-13,2025-11-25,501,116234.94,85006.02,31228.92,0.268671,50,2324.7,232.01
C0002640,SMB,North America,email,2024-03-17,2025-12-24,648,3621.96,2515.33,1106.63,0.305533,13,278.61,5.59
C0002660,Mid-Market,LATAM,email,2024-02-07,2025-06-07,487,16115.67,10837.35,5278.32,0.327527,25,644.63,33.09
C0002684,Mid-Market,North America,email,2025-03-14,2025-12-01,263,9732.29,6910.7,2821.59,0.28992,13,748.64,37.0
C0002720,Startup,LATAM,email,2025-03-04,2025-08-22,172,1974.61,1271.28,703.33,0.356187,9,219.4,11.48
C0002733,Mid-Market,EMEA,email,2025-04-03,2025-10-19,200,15198.81,9677.72,5521.09,0.363258,20,759.94,75.99
C0002743,Startup,EMEA,email,2023-12-09,2024-09-11,278,1806.99,1113.84,693.15,0.383594,6,301.17,6.5
C0002757,Mid-Market,North America,email,2025-10-09,2025-10-28,20,2239.07,1640.38,598.69,0.267383,3,746.36,111.95
C0002811,Mid-Market,EMEA,email,2023-05-10,2023-05-28,19,6995.76,5249.96,1745.8,0.249551,6,1165.96,368.2
C0002814,SMB,EMEA,email,2023-03-30,2025-12-28,1005,6220.93,4452.82,1768.11,0.28422,20,311.05,6.19
C0002861,SMB,North America,email,2024-12-06,2024-12-23,18,779.2,418.33,360.87,0.463129,4,194.8,43.29
C0002862,Mid-Market,LATAM,email,2025-02-02,2025-05-19,107,12341.3,8532.7,3808.6,0.308606,8,1542.66,115.34
C0002887,SMB,North America,email,2023-02-25,2023-09-25,213,2919.06,1708.01,1211.05,0.414877,13,224.54,13.7
C0002900,Startup,LATAM,email,2024-10-29,2025-09-05,312,1209.97,642.96,567.01,0.468615,12,100.83,3.88
C0002915,SMB,LATAM,email,2024-12-18,2025-04-10,114,1854.72,1137.62,717.1,0.386635,7,264.96,16.27
C0002919,Startup,EMEA,email,2023-03-16,2025-09-04,904,5679.47,3728.64,1950.83,0.343488,33,172.11,6.28
C0002938,Enterprise,EMEA,email,2023-06-11,2024-09-13,461,63947.11,47512.31,16434.8,0.257006,31,2062.81,138.71
C0002954,Startup,APAC,email,2025-11-30,2025-12-01,2,310.89,156.49,154.4,0.496639,2,155.44,155.44
C0003004,Mid-Market,North America,email,2025-06-28,2025-12-15,171,3430.33,2268.4,1161.93,0.338723,9,381.15,20.06
C0003011,SMB,LATAM,email,2024-04-25,2025-01-07,258,2901.83,1912.48,989.35,0.34094,9,322.43,11.25
C0003017,SMB,North America,email,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0
C0003068,Startup,APAC,email,2023-12-30,2023-12-30,1,79.08,45.31,33.77,0.427036,1,79.08,79.08
C0003076,Startup,APAC,email,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0
C0003078,Startup,APAC,email,2025-10-19,2025-11-24,37,274.77,149.22,125.55,0.456928,2,137.38,7.43
C0003125,Enterprise,APAC,email,2023-12-28,2025-01-15,385,30571.73,21769.13,8802.6,0.287933,17,1798.34,79.41
C0003160,SMB,APAC,email,2024-07-27,2024-12-29,156,1242.34,679.18,563.16,0.453306,7,177.48,7.96
C0003168,Mid-Market,North America,email,2023-12-21,2024-02-02,44,6130.74,4281.0,1849.74,0.301716,5,1226.15,139.34
C0003175,Startup,EMEA,email,2025-05-29,2025-12-01,187,196.05,111.14,84.91,0.433104,4,49.01,1.05
C0003219,Mid-Market,North America,email,2024-04-12,2025-12-21,619,15947.88,10081.85,5866.03,0.367825,28,569.57,25.76
C0003239,SMB,EMEA,email,2024-08-07,2025-11-11,462,5509.63,3303.28,2206.35,0.400453,14,393.54,11.93
C0003282,SMB,EMEA,email,2023-03-11,2023-08-20,163,1810.59,1318.02,492.57,0.272049,7,258.66,11.11
C0003283,Enterprise,APAC,email,2024-04-11,2024-07-30,111,27062.73,20663.09,6399.64,0.236474,10,2706.27,243.81
C0003297,SMB,EMEA,email,2025-08-10,2025-11-23,106,1031.88,548.16,483.72,0.468775,3,343.96,9.73
C0003360,Startup,LATAM,email,2025-06-12,2025-11-05,147,1142.48,608.67,533.81,0.467238,5,228.5,7.77
C0003365,Mid-Market,LATAM,email,2024-06-04,2025-12-30,575,12572.45,7761.69,4810.76,0.382643,16,785.78,21.87
C0003416,SMB,EMEA,email,2024-03-08,2025-10-30,602,6165.9,4331.63,1834.27,0.297486,21,293.61,10.24
C0003429,Enterprise,LATAM,email,2025-11-18,2025-12-31,44,3532.28,2235.11,1297.17,0.367233,3,1177.43,80.28
C0003434,SMB,EMEA,email,2024-07-15,2025-02-27,228,1535.76,834.81,700.95,0.456419,7,219.39,6.74
C0003479,Enterprise,LATAM,email,2025-11-18,2025-11-28,11,5294.34,4315.89,978.45,0.184811,3,1764.78,481.3
C0003536,SMB,North America,email,2025-10-11,2025-12-31,82,533.78,317.93,215.85,0.40438,3,177.93,6.51
C0003569,Mid-Market,LATAM,email,2025-09-24,2025-12-28,96,3471.21,2271.85,1199.36,0.345516,8,433.9,36.16
C0003578,Mid-Market,North America,email,2024-06-10,2025-07-16,402,7765.08,4926.15,2838.93,0.365602,14,554.65,19.32
C0003597,Mid-Market,EMEA,email,2025-10-27,2025-10-27,1,3176.75,2225.41,951.34,0.29947,1,3176.75,3176.75
C0003620,SMB,North America,email,2025-12-15,2025-12-15,1,233.63,179.47,54.16,0.23182,1,233.63,233.63
C0003633,Mid-Market,EMEA,email,2025-03-17,2025-11-02,231,20917.46,13058.59,7858.87,0.375709,10,2091.75,90.55
C0003661,SMB,EMEA,email,2024-01-20,2025-11-19,670,6560.34,4413.25,2147.09,0.327283,21,312.4,9.79
C0003681,SMB,North America,email,2025-07-15,2025-07-15,1,52.41,26.48,25.93,0.494753,1,52.41,52.41
C0003724,Enterprise,LATAM,email,2024-10-13,2025-01-09,89,14093.53,10256.6,3836.93,0.272248,9,1565.95,158.35
C0003736,SMB,EMEA,email,2025-12-26,2025-12-26,1,114.57,94.93,19.64,0.171424,1,114.57,114.57
C0003817,SMB,LATAM,email,2024-10-14,2024-10-14,1,46.48,22.4,24.08,0.518072,1,46.48,46.48
C0003840,Enterprise,APAC,email,2024-06-03,2024-09-30,120,31647.4,22542.94,9104.46,0.287684,10,3164.74,263.73
C0003852,Mid-Market,North America,email,2024-04-19,2025-02-13,301,10295.99,5924.4,4371.59,0.424592,19,541.89,34.21
C0003904,Enterprise,LATAM,email,2025-04-19,2025-09-30,165,44947.78,34190.65,10757.13,0.239325,15,2996.52,272.41
C0003935,SMB,APAC,email,2024-12-26,2025-05-26,152,944.15,513.59,430.56,0.456029,6,157.36,6.21
C0003959,Startup,EMEA,email,2023-07-20,2023-08-05,17,493.94,323.89,170.05,0.344273,3,164.65,29.06
C0004013,Mid-Market,North America,email,2025-11-23,2025-11-28,6,2399.85,1648.86,750.99,0.312932,3,799.95,399.98
C0004040,Enterprise,North America,email,2025-08-26,2025-09-23,29,14537.15,9813.28,4723.87,0.324952,7,2076.74,501.28
C0004041,SMB,EMEA,email,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0
C0004045,Mid-Market,APAC,email,2024-12-03,2025-07-13,223,18841.94,12554.86,6287.08,0.333675,11,1712.9,84.49
C0004049,Mid-Market,APAC,email,2024-09-05,2025-12-28,480,15415.98,10847.85,4568.13,0.296324,25,616.64,32.12
C0004064,Startup,North America,email,2025-04-28,2025-12-24,241,1273.5,743.94,529.56,0.41583,8,159.19,5.28
C0004080,Mid-Market,North America,email,2024-10-30,2025-12-26,423,9387.42,6630.82,2756.6,0.293648,17,552.2,22.19
C0004147,Mid-Market,LATAM,email,2023-09-11,2024-07-10,304,13232.46,8906.97,4325.49,0.326885,17,778.38,43.53
C0004171,Enterprise,EMEA,email,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0
C0004180,SMB,North America,email,2025-11-17,2025-11-22,6,343.64,154.82,188.82,0.54947,2,171.82,57.27
C0004192,SMB,EMEA,email,2025-08-06,2025-11-09,96,376.97,214.66,162.31,0.430565,2,188.48,3.93
C0004243,Startup,North America,email,2024-12-26,2025-02-25,62,679.68,443.21,236.47,0.347914,3,226.56,10.96
C0004247,Startup,EMEA,email,2025-11-08,2025-11-18,11,189.93,97.69,92.24,0.485653,2,94.96,17.27
C0004278,Mid-Market,LATAM,email,2025-09-26,2025-09-26,1,413.71,241.8,171.91,0.415533,1,413.71,413.71
C0004283,SMB,EMEA,email,2025-03-26,2025-09-05,164,4511.99,2912.7,1599.29,0.354453,11,410.18,27.51
C0004285,SMB,APAC,email,2025-12-23,2025-12-25,3,434.72,298.63,136.09,0.313052,2,217.36,144.91
C0004288,Startup,North America,email,2024-01-28,2024-11-13,291,1490.64,1098.3,392.34,0.263202,8,186.33,5.12
C0004290,Mid-Market,APAC,email,2025-03-19,2025-12-23,280,16572.79,10954.74,5618.05,0.338992,16,1035.8,59.19
C0004303,Startup,North America,email,,,0,0.0,0.0,0.0,0.0,0,0.0,0.0
C0004324,Startup,APAC,email,2023-04-24,2025-12-09,961,1941.22,1123.49,817.73,0.421245,22,88.24,2.02
C0004364,Mid-Market,LATAM,email,2025-12-24,2025-12-24,1,641.67,475.82,165.85,0.258466,1,641.67,641.67
C0004390,Mid-Market,EMEA,email,2025-06-02,2025-06-02,1,1192.55,819.46,373.09,0.312851,2,596.28,1192.55
C0004423,SMB,LATAM,email,2025-04-01,2025-06-25,86,1009.91,715.32,294.59,0.291699,4,252.48,11.74
C0004427,Mid-Market,APAC,email,2023-12-26,2024-04-19,116,5192.67,3019.77,2172.9,0.418455,7,741.81,44.76
C0004430,Mid-Market,LATAM,email,2023-04-26,2023-09-07,135,2345.92,1344.47,1001.45,0.42689,6,390.99,17.38
C0004431,SMB,North America,email,2024-07-26,2025-08-29,400,2991.04,1621.46,1369.58,0.457894,8,373.88,7.48
C0004490,Mid-Market,APAC,email,2025-01-26,2025-12-21,330,12326.22,8121.95,4204.27,0.341083,13,948.17,37.35
C0004542,Mid-Market,EMEA,email,2023-04-13,2023-12-28,260,10261.5,6605.63,3655.87,0.356271,10,1026.15,39.47
C0004547,SMB,North America,email,2025-12-22,2025-12-22,1,182.12,83.97,98.15,0.53893,1,182.12,182.12
C0004554,Mid-Market,APAC,email,2025-05-11,2025-06-29,50,6191.39,3095.34,3096.05,0.500057,3,2063.8,123.83
C0004558,Enterprise,North America,email,2025-07-02,2025-11-29,151,10644.44,7043.97,3600.47,0.338249,12,887.04,70.49
C0004573,Startup,EMEA,email,2023-12-11,2024-10-06,301,891.9,537.96,353.94,0.396838,8,111.49,2.96
C0004578,Mid-Market,North America,email,2023-06-02,2024-02-18,262,13584.42,8542.91,5041.51,0.371124,13,1044.96,51.85
C0004586,SMB,North America,email,2025-07-17,2025-09-27,73,1841.05,1246.71,594.34,0.322827,4,460.26,25.22
C0004608,Enterprise,North America,email,2024-02-19,2025-12-08,659,64164.29,46414.08,17750.21,0.276637,39,1645.24,97.37
C0004618,SMB,EMEA,email,2025-03-02,2025-12-21,295,1316.26,867.15,449.11,0.341202,7,188.04,4.46
