cohort_month,activity_month,cohort_size,customers_active,month_0_active_customers,retained_month_0_customers,late_activation_customers,month_0_activation_rate,signup_activity_rate,retained_from_month_0_rate,cohort_revenue,average_revenue_per_active_customer
2023-04-01,2024-10-01,155,14,74,9,5,0.477419,0.090323,0.121622,17524.75,1251.77
2023-04-01,2024-11-01,155,20,74,13,7,0.477419,0.129032,0.175676,24669.87,1233.49
2023-04-01,2024-12-01,155,17,74,10,7,0.477419,0.109677,0.135135,21568.86,1268.76
2023-04-01,2025-01-01,155,15,74,10,5,0.477419,0.096774,0.135135,24389.93,1626.0
2023-04-01,2025-02-01,155,12,74,8,4,0.477419,0.077419,0.108108,12692.92,1057.74
2023-04-01,2025-03-01,155,16,74,8,8,0.477419,0.103226,0.108108,53342.85,3333.93
2023-04-01,2025-04-01,155,12,74,7,5,0.477419,0.077419,0.094595,62417.52,5201.46
2023-04-01,2025-05-01,155,12,74,7,5,0.477419,0.077419,0.094595,17932.06,1494.34
2023-04-01,2025-06-01,155,9,74,6,3,0.477419,0.058065,0.081081,14155.04,1572.78
2023-04-01,2025-07-01,155,14,74,7,7,0.477419,0.090323,0.094595,68881.06,4920.08
2023-04-01,2025-08-01,155,12,74,8,4,0.477419,0.077419,0.108108,32606.84,2717.24
2023-04-01,2025-09-01,155,7,74,5,2,0.477419,0.045161,0.067568,16546.14,2363.73
2023-04-01,2025-10-01,155,9,74,5,4,0.477419,0.058065,0.067568,12062.51,1340.28
2023-04-01,2025-11-01,155,11,74,7,4,0.477419,0.070968,0.094595,20106.45,1827.86
2023-04-01,2025-12-01,155,10,74,7,3,0.477419,0.064516,0.094595,15922.85,1592.28
2023-05-01,2023-05-01,145,71,71,71,0,0.489655,0.489655,1.0,93446.85,1316.15
2023-05-01,2023-06-01,145,83,71,45,38,0.489655,0.572414,0.633803,104117.03,1254.42
2023-05-01,2023-07-01,145,82,71,43,39,0.489655,0.565517,0.605634,51829.11,632.06
2023-05-01,2023-08-01,145,55,71,28,27,0.489655,0.37931,0.394366,73010.75,1327.47
2023-05-01,2023-09-01,145,53,71,27,26,0.489655,0.365517,0.380282,52584.77,992.17
2023-05-01,2023-10-01,145,52,71,30,22,0.489655,0.358621,0.422535,69299.75,1332.69
2023-05-01,2023-11-01,145,51,71,26,25,0.489655,0.351724,0.366197,106943.98,2096.94
2023-05-01,2023-12-01,145,48,71,21,27,0.489655,0.331034,0.295775,92887.52,1935.16
2023-05-01,2024-01-01,145,39,71,22,17,0.489655,0.268966,0.309859,84304.98,2161.67
2023-05-01,2024-02-01,145,36,71,13,23,0.489655,0.248276,0.183099,66563.21,1848.98
2023-05-01,2024-03-01,145,33,71,19,14,0.489655,0.227586,0.267606,37602.97,1139.48
2023-05-01,2024-04-01,145,30,71,17,13,0.489655,0.206897,0.239437,57120.6,1904.02
2023-05-01,2024-05-01,145,28,71,12,16,0.489655,0.193103,0.169014,78211.87,2793.28
2023-05-01,2024-06-01,145,29,71,15,14,0.489655,0.2,0.211268,45175.91,1557.79
2023-05-01,2024-07-01,145,26,71,12,14,0.489655,0.17931,0.169014,22293.27,857.43
2023-05-01,2024-08-01,145,17,71,11,6,0.489655,0.117241,0.15493,13650.91,802.99
2023-05-01,2024-09-01,145,19,71,7,12,0.489655,0.131034,0.098592,67329.09,3543.64
2023-05-01,2024-10-01,145,21,71,9,12,0.489655,0.144828,0.126761,52601.7,2504.84
2023-05-01,2024-11-01,145,20,71,10,10,0.489655,0.137931,0.140845,32195.04,1609.75
2023-05-01,2024-12-01,145,18,71,8,10,0.489655,0.124138,0.112676,38537.92,2141.0
2023-05-01,2025-01-01,145,11,71,5,6,0.489655,0.075862,0.070423,3452.94,313.9
2023-05-01,2025-02-01,145,14,71,4,10,0.489655,0.096552,0.056338,16831.29,1202.24
2023-05-01,2025-03-01,145,16,71,7,9,0.489655,0.110345,0.098592,52402.08,3275.13
2023-05-01,2025-04-01,145,15,71,10,5,0.489655,0.103448,0.140845,12670.45,844.7
2023-05-01,2025-05-01,145,16,71,6,10,0.489655,0.110345,0.084507,16685.52,1042.84
2023-05-01,2025-06-01,145,13,71,7,6,0.489655,0.089655,0.098592,24943.96,1918.77
2023-05-01,2025-07-01,145,13,71,7,6,0.489655,0.089655,0.098592,35279.38,2713.8
2023-05-01,2025-08-01,145,12,71,5,7,0.489655,0.082759,0.070423,19036.43,1586.37
2023-05-01,2025-09-01,145,12,71,6,6,0.489655,0.082759,0.084507,10475.03,872.92
2023-05-01,2025-10-01,145,14,71,5,9,0.489655,0.096552,0.070423,20515.11,1465.36
2023-05-01,2025-11-01,145,8,71,5,3,0.489655,0.055172,0.070423,11052.39,1381.55
2023-05-01,2025-12-01,145,16,71,7,9,0.489655,0.110345,0.098592,22736.78,1421.05
2023-06-01,2023-06-01,140,78,78,78,0,0.557143,0.557143,1.0,106844.73,1369.8
2023-06-01,2023-07-01,140,68,78,35,33,0.557143,0.485714,0.448718,50951.4,749.29
2023-06-01,2023-08-01,140,58,78,29,29,0.557143,0.414286,0.371795,57510.05,991.55
2023-06-01,2023-09-01,140,62,78,29,33,0.557143,0.442857,0.371795,89186.92,1438.5
2023-06-01,2023-10-01,140,45,78,26,19,0.557143,0.321429,0.333333,76430.75,1698.46
2023-06-01,2023-11-01,140,50,78,29,21,0.557143,0.357143,0.371795,91799.13,1835.98
2023-06-01,2023-12-01,140,53,78,31,22,0.557143,0.378571,0.397436,108673.43,2050.44
2023-06-01,2024-01-01,140,36,78,23,13,0.557143,0.257143,0.294872,45917.11,1275.48
2023-06-01,2024-02-01,140,41,78,27,14,0.557143,0.292857,0.346154,47790.27,1165.62
2023-06-01,2024-03-01,140,37,78,20,17,0.557143,0.264286,0.25641,63750.57,1722.99
2023-06-01,2024-04-01,140,37,78,21,16,0.557143,0.264286,0.269231,65212.49,1762.5
2023-06-01,2024-05-01,140,36,78,21,15,0.557143,0.257143,0.269231,65117.8,1808.83
2023-06-01,2024-06-01,140,31,78,21,10,0.557143,0.221429,0.269231,73546.09,2372.45
2023-06-01,2024-07-01,140,35,78,22,13,0.557143,0.25,0.282051,22930.71,655.16
2023-06-01,2024-08-01,140,25,78,16,9,0.557143,0.178571,0.205128,33646.96,1345.88
2023-06-01,2024-09-01,140,21,78,11,10,0.557143,0.15,0.141026,36116.79,1719.85
2023-06-01,2024-10-01,140,20,78,12,8,0.557143,0.142857,0.153846,25178.71,1258.94
2023-06-01,2024-11-01,140,18,78,14,4,0.557143,0.128571,0.179487,29914.66,1661.93
2023-06-01,2024-12-01,140,24,78,15,9,0.557143,0.171429,0.192308,51818.22,2159.09
2023-06-01,2025-01-01,140,20,78,11,9,0.557143,0.142857,0.141026,26466.32,1323.32
2023-06-01,2025-02-01,140,18,78,12,6,0.557143,0.128571,0.153846,28518.83,1584.38
2023-06-01,2025-03-01,140,13,78,10,3,0.557143,0.092857,0.128205,20376.89,1567.45
2023-06-01,2025-04-01,140,12,78,10,2,0.557143,0.085714,0.128205,11772.66,981.06
2023-06-01,2025-05-01,140,17,78,11,6,0.557143,0.121429,0.141026,32042.32,1884.84
2023-06-01,2025-06-01,140,11,78,6,5,0.557143,0.078571,0.076923,23795.92,2163.27
2023-06-01,2025-07-01,140,9,78,5,4,0.557143,0.064286,0.064103,18399.25,2044.36
2023-06-01,2025-08-01,140,13,78,7,6,0.557143,0.092857,0.089744,26629.75,2048.44
2023-06-01,2025-09-01,140,10,78,4,6,0.557143,0.071429,0.051282,18161.01,1816.1
2023-06-01,2025-10-01,140,9,78,4,5,0.557143,0.064286,0.051282,18157.28,2017.48
2023-06-01,2025-11-01,140,8,78,4,4,0.557143,0.057143,0.051282,12221.57,1527.7
2023-06-01,2025-12-01,140,7,78,3,4,0.557143,0.05,0.038462,4701.99,671.71
2023-07-01,2023-07-01,145,69,69,69,0,0.475862,0.475862,1.0,80562.15,1167.57
2023-07-01,2023-08-01,145,70,69,34,36,0.475862,0.482759,0.492754,46615.56,665.94
2023-07-01,2023-09-01,145,78,69,38,40,0.475862,0.537931,0.550725,83712.95,1073.24
2023-07-01,2023-10-01,145,66,69,36,30,0.475862,0.455172,0.521739,77643.24,1176.41
2023-07-01,2023-11-01,145,61,69,33,28,0.475862,0.42069,0.478261,80426.49,1318.47
2023-07-01,2023-12-01,145,52,69,24,28,0.475862,0.358621,0.347826,86716.33,1667.62
2023-07-01,2024-01-01,145,45,69,21,24,0.475862,0.310345,0.304348,47676.4,1059.48
2023-07-01,2024-02-01,145,37,69,21,16,0.475862,0.255172,0.304348,39615.0,1070.68
2023-07-01,2024-03-01,145,41,69,21,20,0.475862,0.282759,0.304348,64846.81,1581.63
2023-07-01,2024-04-01,145,41,69,22,19,0.475862,0.282759,0.318841,44589.18,1087.54
2023-07-01,2024-05-01,145,31,69,14,17,0.475862,0.213793,0.202899,19787.67,638.31
2023-07-01,2024-06-01,145,26,69,17,9,0.475862,0.17931,0.246377,41505.41,1596.36
2023-07-01,2024-07-01,145,32,69,20,12,0.475862,0.22069,0.289855,42904.27,1340.76
2023-07-01,2024-08-01,145,30,69,18,12,0.475862,0.206897,0.26087,23418.3,780.61
2023-07-01,2024-09-01,145,27,69,13,14,0.475862,0.186207,0.188406,80778.21,2991.79
2023-07-01,2024-10-01,145,23,69,16,7,0.475862,0.158621,0.231884,55070.95,2394.39
2023-07-01,2024-11-01,145,21,69,13,8,0.475862,0.144828,0.188406,21471.76,1022.46
2023-07-01,2024-12-01,145,30,69,17,13,0.475862,0.206897,0.246377,91912.25,3063.74
2023-07-01,2025-01-01,145,23,69,18,5,0.475862,0.158621,0.26087,48986.75,2129.86
2023-07-01,2025-02-01,145,23,69,16,7,0.475862,0.158621,0.231884,28293.95,1230.17
2023-07-01,2025-03-01,145,21,69,13,8,0.475862,0.144828,0.188406,24588.9,1170.9
2023-07-01,2025-04-01,145,22,69,17,5,0.475862,0.151724,0.246377,27590.12,1254.1
2023-07-01,2025-05-01,145,18,69,10,8,0.475862,0.124138,0.144928,31451.07,1747.28
2023-07-01,2025-06-01,145,20,69,13,7,0.475862,0.137931,0.188406,25887.08,1294.35
2023-07-01,2025-07-01,145,15,69,11,4,0.475862,0.103448,0.15942,37133.42,2475.56
2023-07-01,2025-08-01,145,15,69,8,7,0.475862,0.103448,0.115942,14025.82,935.05
2023-07-01,2025-09-01,145,15,69,9,6,0.475862,0.103448,0.130435,21883.87,1458.92
2023-07-01,2025-10-01,145,14,69,10,4,0.475862,0.096552,0.144928,7985.37,570.38
2023-07-01,2025-11-01,145,11,69,7,4,0.475862,0.075862,0.101449,32229.57,2929.96
2023-07-01,2025-12-01,145,12,69,7,5,0.475862,0.082759,0.101449,62883.75,5240.31
2023-08-01,2023-08-01,156,84,84,84,0,0.538462,0.538462,1.0,94049.73,1119.64
2023-08-01,2023-09-01,156,72,84,37,35,0.538462,0.461538,0.440476,91496.73,1270.79
2023-08-01,2023-10-01,156,61,84,33,28,0.538462,0.391026,0.392857,71793.61,1176.94
2023-08-01,2023-11-01,156,67,84,39,28,0.538462,0.429487,0.464286,119166.06,1778.6
2023-08-01,2023-12-01,156,59,84,33,26,0.538462,0.378205,0.392857,96116.14,1629.09
2023-08-01,2024-01-01,156,56,84,30,26,0.538462,0.358974,0.357143,58790.17,1049.82
2023-08-01,2024-02-01,156,60,84,35,25,0.538462,0.384615,0.416667,100821.3,1680.36
2023-08-01,2024-03-01,156,60,84,29,31,0.538462,0.384615,0.345238,71363.62,1189.39
2023-08-01,2024-04-01,156,50,84,26,24,0.538462,0.320513,0.309524,51644.67,1032.89
2023-08-01,2024-05-01,156,49,84,28,21,0.538462,0.314103,0.333333,45108.53,920.58
2023-08-01,2024-06-01,156,37,84,21,16,0.538462,0.237179,0.25,40307.68,1089.4
2023-08-01,2024-07-01,156,23,84,14,9,0.538462,0.147436,0.166667,23591.4,1025.71
2023-08-01,2024-08-01,156,34,84,20,14,0.538462,0.217949,0.238095,38706.27,1138.42
2023-08-01,2024-09-01,156,36,84,22,14,0.538462,0.230769,0.261905,41496.96,1152.69
2023-08-01,2024-10-01,156,29,84,15,14,0.538462,0.185897,0.178571,27614.76,952.23
2023-08-01,2024-11-01,156,28,84,14,14,0.538462,0.179487,0.166667,30036.6,1072.74
2023-08-01,2024-12-01,156,22,84,12,10,0.538462,0.141026,0.142857,28814.05,1309.73
2023-08-01,2025-01-01,156,17,84,10,7,0.538462,0.108974,0.119048,23906.06,1406.24
2023-08-01,2025-02-01,156,24,84,11,13,0.538462,0.153846,0.130952,22886.17,953.59
2023-08-01,2025-03-01,156,27,84,17,10,0.538462,0.173077,0.202381,35683.62,1321.62
2023-08-01,2025-04-01,156,23,84,14,9,0.538462,0.147436,0.166667,20220.69,879.16
2023-08-01,2025-05-01,156,25,84,15,10,0.538462,0.160256,0.178571,47887.01,1915.48
2023-08-01,2025-06-01,156,21,84,12,9,0.538462,0.134615,0.142857,20993.49,999.69
2023-08-01,2025-07-01,156,15,84,7,8,0.538462,0.096154,0.083333,15171.56,1011.44
2023-08-01,2025-08-01,156,13,84,6,7,0.538462,0.083333,0.071429,22441.33,1726.26
2023-08-01,2025-09-01,156,18,84,8,10,0.538462,0.115385,0.095238,19276.6,1070.92
2023-08-01,2025-10-01,156,15,84,7,8,0.538462,0.096154,0.083333,28250.23,1883.35
2023-08-01,2025-11-01,156,17,84,7,10,0.538462,0.108974,0.083333,21024.87,1236.76
2023-08-01,2025-12-01,156,13,84,8,5,0.538462,0.083333,0.095238,32317.23,2485.94
2023-09-01,2023-09-01,142,75,75,75,0,0.528169,0.528169,1.0,102052.94,1360.71
2023-09-01,2023-10-01,142,70,75,38,32,0.528169,0.492958,0.506667,93438.97,1334.84
2023-09-01,2023-11-01,142,63,75,37,26,0.528169,0.443662,0.493333,82144.95,1303.89
2023-09-01,2023-12-01,142,54,75,30,24,0.528169,0.380282,0.4,97049.73,1797.22
2023-09-01,2024-01-01,142,46,75,18,28,0.528169,0.323944,0.24,46196.93,1004.28
2023-09-01,2024-02-01,142,48,75,25,23,0.528169,0.338028,0.333333,62979.48,1312.07
2023-09-01,2024-03-01,142,40,75,24,16,0.528169,0.28169,0.32,69348.38,1733.71
2023-09-01,2024-04-01,142,46,75,25,21,0.528169,0.323944,0.333333,57138.01,1242.13
2023-09-01,2024-05-01,142,47,75,23,24,0.528169,0.330986,0.306667,75597.55,1608.46
2023-09-01,2024-06-01,142,45,75,23,22,0.528169,0.316901,0.306667,72546.28,1612.14
2023-09-01,2024-07-01,142,31,75,17,14,0.528169,0.21831,0.226667,29886.06,964.07
2023-09-01,2024-08-01,142,34,75,17,17,0.528169,0.239437,0.226667,55533.86,1633.35
2023-09-01,2024-09-01,142,32,75,19,13,0.528169,0.225352,0.253333,34777.48,1086.8
2023-09-01,2024-10-01,142,40,75,21,19,0.528169,0.28169,0.28,89819.26,2245.48
2023-09-01,2024-11-01,142,31,75,16,15,0.528169,0.21831,0.213333,56371.18,1818.43
2023-09-01,2024-12-01,142,32,75,15,17,0.528169,0.225352,0.2,43052.29,1345.38
2023-09-01,2025-01-01,142,24,75,16,8,0.528169,0.169014,0.213333,14545.83,606.08
2023-09-01,2025-02-01,142,27,75,14,13,0.528169,0.190141,0.186667,28520.71,1056.32
2023-09-01,2025-03-01,142,28,75,15,13,0.528169,0.197183,0.2,23700.92,846.46
2023-09-01,2025-04-01,142,20,75,12,8,0.528169,0.140845,0.16,35605.04,1780.25
2023-09-01,2025-05-01,142,17,75,9,8,0.528169,0.119718,0.12,38010.72,2235.92
2023-09-01,2025-06-01,142,18,75,8,10,0.528169,0.126761,0.106667,33323.25,1851.29
2023-09-01,2025-07-01,142,23,75,11,12,0.528169,0.161972,0.146667,19499.42,847.8
2023-09-01,2025-08-01,142,17,75,11,6,0.528169,0.119718,0.146667,21755.88,1279.76
