touchpoint_id,customer_id,touchpoint_date,acquisition_channel,touchpoint_order,is_conversion_touch
TP000014359,C0000065,2025-02-19,paid_search,1,False
TP000014360,C0000065,2025-03-21,email,2,False
TP000014361,C0000065,2025-04-09,paid_search,3,True
TP000012581,C0000066,2025-01-15,referral,1,False
TP000012582,C0000066,2025-02-02,referral,2,True
TP000012680,C0000067,2024-12-20,paid_search,1,False
TP000012681,C0000067,2024-12-22,social_ads,2,False
TP000012682,C0000067,2025-01-03,organic,3,False
TP000012683,C0000067,2025-02-05,social_ads,4,True
TP000006957,C0000068,2024-05-06,referral,1,True
TP000000721,C0000069,2023-03-04,organic,1,True
TP000009947,C0000070,2024-08-14,social_ads,1,False
TP000009948,C0000070,2024-09-08,paid_search,2,False
TP000009949,C0000070,2024-10-09,social_ads,3,True
TP000004838,C0000071,2024-01-20,paid_search,1,True
TP000009283,C0000072,2024-08-10,social_ads,1,False
TP000009284,C0000072,2024-09-07,social_ads,2,True
TP000019202,C0000073,2025-08-04,paid_search,1,False
TP000019203,C0000073,2025-08-12,organic,2,False
TP000019204,C0000073,2025-09-09,email,3,False
TP000019205,C0000073,2025-09-14,organic,4,True
TP000005283,C0000074,2024-01-08,email,1,False
TP000005284,C0000074,2024-01-29,paid_search,2,False
TP000005285,C0000074,2024-02-09,email,3,False
TP000005286,C0000074,2024-02-17,organic,4,True
TP000001361,C0000075,2023-04-22,organic,1,True
TP000006441,C0000076,2024-02-15,social_ads,1,False
TP000006442,C0000076,2024-03-25,partners,2,False
TP000006443,C0000076,2024-03-29,email,3,False
TP000006444,C0000076,2024-04-11,paid_search,4,True
TP000006718,C0000077,2024-04-09,paid_search,1,False
TP000006719,C0000077,2024-04-15,email,2,False
TP000006720,C0000077,2024-04-17,partners,3,False
TP000006721,C0000077,2024-04-23,organic,4,True
TP000015000,C0000078,2025-04-17,partners,1,False
TP000015001,C0000078,2025-04-17,organic,2,False
TP000015002,C0000078,2025-04-27,organic,3,True
TP000012651,C0000079,2025-01-28,referral,1,False
TP000012652,C0000079,2025-02-02,paid_search,2,True
TP000017662,C0000080,2025-07-04,partners,1,False
TP000017663,C0000080,2025-07-27,social_ads,2,True
TP000015062,C0000081,2025-03-09,paid_search,1,False
TP000015063,C0000081,2025-04-09,referral,2,False
TP000015064,C0000081,2025-04-29,social_ads,3,True
TP000009263,C0000082,2024-09-04,social_ads,1,True
TP000018327,C0000083,2025-08-08,paid_search,1,False
TP000018328,C0000083,2025-08-14,paid_search,2,True
TP000003739,C0000084,2023-09-19,partners,1,False
TP000003740,C0000084,2023-11-06,paid_search,2,True
TP000000524,C0000085,2023-02-10,paid_search,1,True
TP000001960,C0000086,2023-05-09,social_ads,1,False
TP000001961,C0000086,2023-06-18,paid_search,2,True
TP000016304,C0000087,2025-06-04,social_ads,1,True
TP000010513,C0000088,2024-11-11,organic,1,True
TP000003597,C0000089,2023-09-07,referral,1,False
TP000003598,C0000089,2023-10-23,organic,2,False
TP000003599,C0000089,2023-10-30,referral,3,True
TP000011345,C0000090,2024-12-21,social_ads,1,True
TP000003311,C0000091,2023-08-19,paid_search,1,False
TP000003312,C0000091,2023-09-23,social_ads,2,False
TP000003313,C0000091,2023-10-11,organic,3,True
TP000015766,C0000092,2025-03-24,referral,1,False
TP000015767,C0000092,2025-05-12,paid_search,2,False
TP000015768,C0000092,2025-05-22,referral,3,True
TP000010157,C0000093,2024-09-04,paid_search,1,False
TP000010158,C0000093,2024-09-11,paid_search,2,False
TP000010159,C0000093,2024-10-10,email,3,False
TP000010160,C0000093,2024-10-20,paid_search,4,True
TP000008676,C0000094,2024-06-09,email,1,False
TP000008677,C0000094,2024-06-15,email,2,False
TP000008678,C0000094,2024-07-09,social_ads,3,False
TP000008679,C0000094,2024-07-31,paid_search,4,True
TP000006887,C0000095,2024-03-18,partners,1,False
TP000006888,C0000095,2024-03-19,paid_search,2,False
TP000006889,C0000095,2024-04-27,paid_search,3,False
TP000006890,C0000095,2024-05-02,paid_search,4,True
TP000014258,C0000096,2025-03-17,paid_search,1,False
TP000014259,C0000096,2025-04-01,referral,2,True
TP000008234,C0000097,2024-05-25,referral,1,False
TP000008235,C0000097,2024-06-01,referral,2,False
TP000008236,C0000097,2024-06-17,social_ads,3,False
TP000008237,C0000097,2024-07-13,social_ads,4,True
TP000001919,C0000098,2023-06-08,social_ads,1,True
TP000002552,C0000099,2023-07-26,organic,1,False
TP000002553,C0000099,2023-08-01,paid_search,2,False
TP000002554,C0000099,2023-08-04,referral,3,True
TP000021621,C0000100,2025-10-28,social_ads,1,False
TP000021622,C0000100,2025-12-07,email,2,True
TP000020419,C0000101,2025-11-01,social_ads,1,True
TP000015824,C0000102,2025-05-13,paid_search,1,False
TP000015825,C0000102,2025-05-18,referral,2,True
TP000006070,C0000103,2024-02-19,social_ads,1,False
TP000006071,C0000103,2024-03-23,referral,2,True
TP000021802,C0000104,2025-10-21,social_ads,1,False
TP000021803,C0000104,2025-10-26,paid_search,2,False
TP000021804,C0000104,2025-11-18,email,3,False
TP000021805,C0000104,2025-12-06,organic,4,True
TP000017556,C0000105,2025-06-20,paid_search,1,False
TP000017557,C0000105,2025-07-13,social_ads,2,False
TP000017558,C0000105,2025-07-15,paid_search,3,False
TP000017559,C0000105,2025-07-20,organic,4,True
TP000016210,C0000106,2025-05-10,email,1,False
TP000016211,C0000106,2025-05-26,social_ads,2,False
TP000016212,C0000106,2025-06-05,organic,3,True
TP000010262,C0000107,2024-09-07,social_ads,1,False
TP000010263,C0000107,2024-10-26,paid_search,2,True
TP000006193,C0000108,2024-04-01,social_ads,1,True
TP000002100,C0000109,2023-05-12,paid_search,1,False
TP000002101,C0000109,2023-06-06,organic,2,False
TP000002102,C0000109,2023-06-28,organic,3,True
TP000020270,C0000110,2025-09-11,referral,1,False
TP000020271,C0000110,2025-10-03,referral,2,False
TP000020272,C0000110,2025-10-19,email,3,False
TP000020273,C0000110,2025-10-27,social_ads,4,True
TP000010385,C0000111,2024-11-03,email,1,True
TP000004598,C0000112,2023-12-15,paid_search,1,False
TP000004599,C0000112,2023-12-17,paid_search,2,False
TP000004600,C0000112,2023-12-18,social_ads,3,False
TP000004601,C0000112,2023-12-30,social_ads,4,True
TP000007005,C0000113,2024-05-03,referral,1,True
TP000013086,C0000114,2025-01-12,organic,1,False
TP000013087,C0000114,2025-01-22,paid_search,2,False
TP000013088,C0000114,2025-02-02,email,3,False
TP000013089,C0000114,2025-02-25,social_ads,4,True
TP000003992,C0000115,2023-10-18,referral,1,False
TP000003993,C0000115,2023-11-16,organic,2,False
TP000003994,C0000115,2023-11-16,paid_search,3,False
TP000003995,C0000115,2023-11-28,social_ads,4,True
TP000019279,C0000116,2025-09-22,organic,1,True
TP000017115,C0000117,2025-05-16,referral,1,False
TP000017116,C0000117,2025-06-07,social_ads,2,False
TP000017117,C0000117,2025-07-04,paid_search,3,True
TP000016269,C0000118,2025-06-08,referral,1,True
TP000009855,C0000119,2024-09-29,email,1,False
TP000009856,C0000119,2024-09-30,referral,2,True
TP000014225,C0000120,2025-02-24,social_ads,1,False
TP000014226,C0000120,2025-03-31,partners,2,True
TP000013225,C0000121,2025-02-02,referral,1,False
TP000013226,C0000121,2025-02-06,email,2,False
TP000013227,C0000121,2025-02-26,referral,3,True
TP000014706,C0000122,2025-03-07,organic,1,False
TP000014707,C0000122,2025-04-01,partners,2,False
TP000014708,C0000122,2025-04-13,email,3,True
TP000001842,C0000123,2023-06-02,partners,1,True
TP000009446,C0000124,2024-09-16,social_ads,1,True
TP000000972,C0000125,2023-02-23,email,1,False
TP000000973,C0000125,2023-03-25,partners,2,True
TP000011192,C0000126,2024-11-04,email,1,False
TP000011193,C0000126,2024-11-20,referral,2,False
TP000011194,C0000126,2024-12-03,social_ads,3,False
TP000011195,C0000126,2024-12-08,email,4,True
TP000007558,C0000127,2024-04-17,referral,1,False
TP000007559,C0000127,2024-06-06,paid_search,2,True
TP000003136,C0000128,2023-09-27,referral,1,True
TP000002239,C0000129,2023-06-16,paid_search,1,False
TP000002240,C0000129,2023-06-21,organic,2,False
TP000002241,C0000129,2023-07-10,social_ads,3,True
TP000013265,C0000130,2025-03-02,referral,1,True
TP000003810,C0000131,2023-10-25,referral,1,False
TP000003811,C0000131,2023-11-08,email,2,False
TP000003812,C0000131,2023-11-11,paid_search,3,True
TP000020793,C0000132,2025-09-29,organic,1,False
TP000020794,C0000132,2025-11-12,organic,2,True
TP000013128,C0000133,2025-02-26,social_ads,1,True
TP000007929,C0000134,2024-06-22,referral,1,True
TP000013356,C0000135,2025-03-01,paid_search,1,True
TP000000521,C0000136,2023-02-15,organic,1,True
TP000021554,C0000137,2025-11-30,referral,1,True
TP000010980,C0000138,2024-10-08,social_ads,1,False
TP000010981,C0000138,2024-12-02,referral,2,True
TP000017642,C0000139,2025-06-28,partners,1,False
TP000017643,C0000139,2025-07-25,social_ads,2,True
TP000001816,C0000140,2023-05-30,paid_search,1,True
TP000011056,C0000141,2024-12-08,social_ads,1,True
TP000011129,C0000142,2024-12-08,partners,1,True
TP000021091,C0000143,2025-11-05,email,1,False
TP000021092,C0000143,2025-11-16,paid_search,2,True
TP000012940,C0000144,2025-02-14,organic,1,True
TP000010767,C0000145,2024-10-12,social_ads,1,False
TP000010768,C0000145,2024-10-17,organic,2,False
TP000010769,C0000145,2024-11-01,partners,3,False
TP000010770,C0000145,2024-11-23,paid_search,4,True
TP000006093,C0000146,2024-01-31,partners,1,False
TP000006094,C0000146,2024-03-11,partners,2,False
TP000006095,C0000146,2024-03-21,organic,3,True
TP000007605,C0000147,2024-05-07,organic,1,False
TP000007606,C0000147,2024-05-11,referral,2,False
TP000007607,C0000147,2024-05-24,paid_search,3,False
TP000007608,C0000147,2024-06-08,paid_search,4,True
TP000011847,C0000148,2025-01-03,social_ads,1,True
TP000010029,C0000149,2024-08-20,email,1,False
TP000010030,C0000149,2024-08-30,social_ads,2,False
TP000010031,C0000149,2024-09-28,paid_search,3,False
TP000010032,C0000149,2024-10-15,social_ads,4,True
TP000000494,C0000150,2022-12-27,organic,1,False
TP000000495,C0000150,2023-01-02,email,2,False
TP000000496,C0000150,2023-01-30,referral,3,False
TP000000497,C0000150,2023-02-14,paid_search,4,True
TP000018604,C0000151,2025-07-04,organic,1,False
TP000018605,C0000151,2025-08-18,paid_search,2,False
TP000018606,C0000151,2025-08-26,social_ads,3,True
TP000020153,C0000152,2025-09-01,paid_search,1,False
TP000020154,C0000152,2025-10-18,social_ads,2,True
TP000003043,C0000153,2023-07-25,paid_search,1,False
TP000003044,C0000153,2023-07-28,social_ads,2,False
TP000003045,C0000153,2023-08-11,social_ads,3,False
TP000003046,C0000153,2023-09-16,referral,4,True
TP000012555,C0000154,2025-01-11,referral,1,False
TP000012556,C0000154,2025-02-04,email,2,True
TP000002331,C0000155,2023-06-27,referral,1,False
TP000002332,C0000155,2023-07-16,social_ads,2,True
TP000015216,C0000156,2025-03-10,organic,1,False
TP000015217,C0000156,2025-04-17,referral,2,False
TP000015218,C0000156,2025-05-05,partners,3,True
TP000006419,C0000157,2024-02-15,social_ads,1,False
TP000006420,C0000157,2024-03-15,organic,2,False
TP000006421,C0000157,2024-04-05,social_ads,3,True
TP000014983,C0000158,2025-04-26,paid_search,1,True
TP000016415,C0000159,2025-05-18,organic,1,False
TP000016416,C0000159,2025-06-09,paid_search,2,True
TP000017331,C0000160,2025-07-08,social_ads,1,True
TP000002321,C0000161,2023-07-18,social_ads,1,True
TP000020587,C0000162,2025-09-07,email,1,False
TP000020588,C0000162,2025-09-19,social_ads,2,False
TP000020589,C0000162,2025-10-02,partners,3,False
TP000020590,C0000162,2025-11-01,partners,4,True
TP000005208,C0000163,2024-02-12,organic,1,True
TP000000875,C0000164,2023-01-31,paid_search,1,False
TP000000876,C0000164,2023-02-05,social_ads,2,False
TP000000877,C0000164,2023-02-09,paid_search,3,False
TP000000878,C0000164,2023-03-15,referral,4,True
TP000012594,C0000165,2024-12-21,partners,1,False
TP000012595,C0000165,2024-12-27,social_ads,2,False
TP000012596,C0000165,2025-02-02,referral,3,True
TP000008455,C0000166,2024-06-15,organic,1,False
TP000008456,C0000166,2024-06-27,referral,2,False
TP000008457,C0000166,2024-06-29,referral,3,False
TP000008458,C0000166,2024-07-18,social_ads,4,True
TP000018724,C0000167,2025-08-27,referral,1,True
TP000018216,C0000168,2025-06-21,referral,1,False
TP000018217,C0000168,2025-07-04,paid_search,2,False
TP000018218,C0000168,2025-08-04,organic,3,False
TP000018219,C0000168,2025-08-14,paid_search,4,True
TP000007215,C0000169,2024-04-12,paid_search,1,False
TP000007216,C0000169,2024-05-21,paid_search,2,True
TP000021412,C0000170,2025-11-13,partners,1,False
TP000021413,C0000170,2025-11-27,social_ads,2,True
TP000006664,C0000171,2024-04-23,paid_search,1,True
TP000011727,C0000172,2024-11-18,paid_search,1,False
TP000011728,C0000172,2024-12-30,organic,2,True
TP000005818,C0000173,2024-01-25,referral,1,False
TP000005819,C0000173,2024-02-10,paid_search,2,False
TP000005820,C0000173,2024-02-27,email,3,False
TP000005821,C0000173,2024-03-11,paid_search,4,True
TP000021037,C0000174,2025-10-24,paid_search,1,False
TP000021038,C0000174,2025-10-24,referral,2,False
TP000021039,C0000174,2025-10-27,referral,3,False
TP000021040,C0000174,2025-11-16,paid_search,4,True
TP000003667,C0000175,2023-10-02,email,1,False
TP000003668,C0000175,2023-11-02,partners,2,True
TP000001070,C0000176,2023-03-16,paid_search,1,False
TP000001071,C0000176,2023-03-31,email,2,True
TP000009924,C0000177,2024-10-05,referral,1,True
TP000022250,C0000178,2025-11-03,referral,1,False
TP000022251,C0000178,2025-12-10,partners,2,False
TP000022252,C0000178,2025-12-23,referral,3,True
TP000020057,C0000179,2025-09-24,social_ads,1,False
TP000020058,C0000179,2025-10-19,organic,2,True
TP000016886,C0000180,2025-05-26,paid_search,1,False
TP000016887,C0000180,2025-06-10,social_ads,2,False
TP000016888,C0000180,2025-06-29,paid_search,3,True
TP000020056,C0000181,2025-10-18,social_ads,1,True
TP000020113,C0000182,2025-09-14,social_ads,1,False
TP000020114,C0000182,2025-09-30,referral,2,False
TP000020115,C0000182,2025-10-21,paid_search,3,True
TP000011798,C0000183,2025-01-07,social_ads,1,True
TP000007181,C0000184,2024-04-26,paid_search,1,False
TP000007182,C0000184,2024-05-09,partners,2,False
TP000007183,C0000184,2024-05-14,email,3,True
TP000017402,C0000185,2025-07-18,organic,1,True
TP000015003,C0000186,2025-03-02,referral,1,False
TP000015004,C0000186,2025-04-14,referral,2,False
TP000015005,C0000186,2025-04-25,email,3,True
TP000008499,C0000187,2024-06-09,email,1,False
TP000008500,C0000187,2024-07-22,organic,2,True
TP000002052,C0000188,2023-06-20,referral,1,True
TP000016827,C0000189,2025-05-03,email,1,False
TP000016828,C0000189,2025-06-17,organic,2,False
TP000016829,C0000189,2025-06-24,organic,3,True
TP000005988,C0000190,2024-01-24,paid_search,1,False
TP000005989,C0000190,2024-03-22,referral,2,True
TP000021067,C0000191,2025-09-24,paid_search,1,False
TP000021068,C0000191,2025-10-27,social_ads,2,False
TP000021069,C0000191,2025-11-15,social_ads,3,True
TP000005479,C0000192,2024-01-26,paid_search,1,False
TP000005480,C0000192,2024-02-03,referral,2,False
TP000005481,C0000192,2024-02-22,social_ads,3,True
TP000002659,C0000193,2023-08-19,referral,1,True
TP000018740,C0000194,2025-08-29,paid_search,1,True
TP000003360,C0000195,2023-08-23,referral,1,False
TP000003361,C0000195,2023-09-15,social_ads,2,False
TP000003362,C0000195,2023-09-20,email,3,False
TP000003363,C0000195,2023-10-13,referral,4,True
TP000004041,C0000196,2023-11-27,paid_search,1,True
TP000013547,C0000197,2025-01-24,email,1,False
TP000013548,C0000197,2025-02-03,organic,2,False
TP000013549,C0000197,2025-03-12,referral,3,True
TP000019646,C0000198,2025-08-07,paid_search,1,False
TP000019647,C0000198,2025-09-10,paid_search,2,False
TP000019648,C0000198,2025-10-01,paid_search,3,True
TP000004433,C0000199,2023-12-04,partners,1,False
TP000004434,C0000199,2023-12-26,social_ads,2,True
TP000007080,C0000200,2024-03-17,paid_search,1,False
TP000007081,C0000200,2024-04-28,paid_search,2,False
TP000007082,C0000200,2024-05-07,paid_search,3,False
TP000007083,C0000200,2024-05-14,referral,4,True
TP000017508,C0000201,2025-06-02,referral,1,False
TP000017509,C0000201,2025-07-07,email,2,False
TP000017510,C0000201,2025-07-22,paid_search,3,True
TP000021831,C0000202,2025-11-02,organic,1,False
TP000021832,C0000202,2025-12-14,email,2,True
TP000011339,C0000203,2024-12-19,social_ads,1,True
TP000003127,C0000204,2023-08-01,referral,1,False
TP000003128,C0000204,2023-09-05,social_ads,2,False
TP000003129,C0000204,2023-09-21,paid_search,3,False
TP000003130,C0000204,2023-09-24,social_ads,4,True
TP000000324,C0000205,2022-12-17,organic,1,False
TP000000325,C0000205,2023-01-17,social_ads,2,False
TP000000326,C0000205,2023-01-25,paid_search,3,True
TP000005211,C0000206,2024-01-02,paid_search,1,False
TP000005212,C0000206,2024-01-25,organic,2,False
TP000005213,C0000206,2024-02-09,organic,3,True
TP000002857,C0000207,2023-07-18,social_ads,1,False
TP000002858,C0000207,2023-08-11,social_ads,2,False
TP000002859,C0000207,2023-08-20,social_ads,3,False
TP000002860,C0000207,2023-09-02,referral,4,True
TP000015338,C0000208,2025-04-07,email,1,False
TP000015339,C0000208,2025-04-28,email,2,False
TP000015340,C0000208,2025-05-07,social_ads,3,True
TP000002647,C0000209,2023-08-09,email,1,False
TP000002648,C0000209,2023-08-13,paid_search,2,True
TP000011503,C0000210,2024-12-27,organic,1,True
TP000015710,C0000211,2025-03-29,social_ads,1,False
TP000015711,C0000211,2025-04-30,social_ads,2,False
TP000015712,C0000211,2025-04-30,paid_search,3,False
TP000015713,C0000211,2025-05-17,partners,4,True
TP000013118,C0000212,2025-02-02,partners,1,False
TP000013119,C0000212,2025-02-22,social_ads,2,True
TP000004520,C0000213,2023-12-30,paid_search,1,True
TP000018143,C0000214,2025-08-06,paid_search,1,True
TP000016175,C0000215,2025-06-05,paid_search,1,True
TP000016656,C0000216,2025-06-18,organic,1,True
TP000002839,C0000217,2023-07-18,organic,1,False
TP000002840,C0000217,2023-08-02,social_ads,2,False
TP000002841,C0000217,2023-08-07,organic,3,False
TP000002842,C0000217,2023-08-31,email,4,True
TP000002690,C0000218,2023-07-23,paid_search,1,False
TP000002691,C0000218,2023-08-18,email,2,True
TP000020878,C0000219,2025-09-27,email,1,False
TP000020879,C0000219,2025-10-02,email,2,False
TP000020880,C0000219,2025-11-11,organic,3,True
TP000009087,C0000220,2024-07-13,paid_search,1,False
TP000009088,C0000220,2024-08-25,paid_search,2,True
TP000006875,C0000221,2024-05-01,email,1,True
TP000011096,C0000222,2024-11-22,social_ads,1,False
TP000011097,C0000222,2024-11-24,email,2,False
TP000011098,C0000222,2024-12-06,social_ads,3,True
TP000015021,C0000223,2025-04-23,social_ads,1,True
TP000021468,C0000224,2025-10-22,paid_search,1,False
TP000021469,C0000224,2025-10-29,organic,2,False
TP000021470,C0000224,2025-11-04,referral,3,False
TP000021471,C0000224,2025-11-28,organic,4,True
TP000006548,C0000225,2024-03-06,paid_search,1,False
TP000006549,C0000225,2024-04-07,paid_search,2,False
TP000006550,C0000225,2024-04-15,paid_search,3,True
TP000020803,C0000226,2025-11-10,organic,1,True
TP000000574,C0000227,2023-01-01,paid_search,1,False
TP000000575,C0000227,2023-01-08,social_ads,2,False
TP000000576,C0000227,2023-02-15,email,3,True
TP000012623,C0000228,2025-01-01,paid_search,1,False
TP000012624,C0000228,2025-01-20,paid_search,2,False
TP000012625,C0000228,2025-02-06,organic,3,True
TP000014320,C0000229,2025-03-02,referral,1,False
TP000014321,C0000229,2025-03-26,paid_search,2,False
TP000014322,C0000229,2025-04-06,organic,3,True
TP000002285,C0000230,2023-07-13,social_ads,1,True
TP000003047,C0000231,2023-09-16,paid_search,1,True
TP000009558,C0000232,2024-09-08,social_ads,1,False
TP000009559,C0000232,2024-09-19,organic,2,True
