intervention_id,week_start,product_type,region,assignment,reference_price,observed_price,units_sold,revenue,contribution_margin
PI0000028,2024-01-08,Premium,APAC,price_up_10,305.0,335.5,59,19794.5,7521.91
PI0000029,2024-01-08,Services,North America,control,388.0,388.0,56,21728.0,6735.68
PI0000030,2024-01-08,Services,EMEA,price_up_10,388.0,426.8,53,22620.4,7012.32
PI0000031,2024-01-08,Services,LATAM,price_up_10,388.0,426.8,31,13230.8,4101.55
PI0000032,2024-01-08,Services,APAC,price_down_10,388.0,349.2,45,15714.0,4871.34
PI0000033,2024-01-15,Core,North America,price_up_10,165.0,181.5,239,43378.5,23424.39
PI0000034,2024-01-15,Core,EMEA,price_down_10,165.0,148.5,273,40540.5,21891.87
PI0000035,2024-01-15,Core,LATAM,control,165.0,165.0,186,30690.0,16572.6
PI0000036,2024-01-15,Core,APAC,price_down_10,165.0,148.5,213,31630.5,17080.47
PI0000037,2024-01-15,Add-on,North America,control,92.0,92.0,190,17480.0,10488.0
PI0000038,2024-01-15,Add-on,EMEA,price_down_10,92.0,82.8,159,13165.2,7899.12
PI0000039,2024-01-15,Add-on,LATAM,price_down_10,92.0,82.8,124,10267.2,6160.32
PI0000040,2024-01-15,Add-on,APAC,control,92.0,92.0,119,10948.0,6568.8
PI0000041,2024-01-15,Premium,North America,price_down_10,305.0,274.5,113,31018.5,11787.03
PI0000042,2024-01-15,Premium,EMEA,price_down_10,305.0,274.5,72,19764.0,7510.32
PI0000043,2024-01-15,Premium,LATAM,control,305.0,305.0,56,17080.0,6490.4
PI0000044,2024-01-15,Premium,APAC,price_down_10,305.0,274.5,71,19489.5,7406.01
PI0000045,2024-01-15,Services,North America,control,388.0,388.0,61,23668.0,7337.08
PI0000046,2024-01-15,Services,EMEA,price_down_10,388.0,349.2,77,26888.4,8335.4
PI0000047,2024-01-15,Services,LATAM,control,388.0,388.0,31,12028.0,3728.68
PI0000048,2024-01-15,Services,APAC,price_down_10,388.0,349.2,52,18158.4,5629.1
PI0000049,2024-01-22,Core,North America,price_down_10,165.0,148.5,307,45589.5,24618.33
PI0000050,2024-01-22,Core,EMEA,price_up_10,165.0,181.5,267,48460.5,26168.67
PI0000051,2024-01-22,Core,LATAM,price_down_10,165.0,148.5,173,25690.5,13872.87
PI0000052,2024-01-22,Core,APAC,price_down_10,165.0,148.5,220,32670.0,17641.8
PI0000053,2024-01-22,Add-on,North America,price_down_10,92.0,82.8,207,17139.6,10283.76
PI0000054,2024-01-22,Add-on,EMEA,control,92.0,92.0,141,12972.0,7783.2
PI0000055,2024-01-22,Add-on,LATAM,price_up_10,92.0,101.2,74,7488.8,4493.28
PI0000056,2024-01-22,Add-on,APAC,price_down_10,92.0,82.8,155,12834.0,7700.4
PI0000057,2024-01-22,Premium,North America,price_down_10,305.0,274.5,137,37606.5,14290.47
PI0000058,2024-01-22,Premium,EMEA,control,305.0,305.0,102,31110.0,11821.8
PI0000059,2024-01-22,Premium,LATAM,control,305.0,305.0,51,15555.0,5910.9
PI0000060,2024-01-22,Premium,APAC,price_up_10,305.0,335.5,47,15768.5,5992.03
PI0000061,2024-01-22,Services,North America,control,388.0,388.0,90,34920.0,10825.2
PI0000062,2024-01-22,Services,EMEA,price_down_10,388.0,349.2,54,18856.8,5845.61
PI0000063,2024-01-22,Services,LATAM,price_up_10,388.0,426.8,27,11523.6,3572.32
PI0000064,2024-01-22,Services,APAC,price_down_10,388.0,349.2,46,16063.2,4979.59
PI0000065,2024-01-29,Core,North America,control,165.0,165.0,308,50820.0,27442.8
PI0000066,2024-01-29,Core,EMEA,price_up_10,165.0,181.5,192,34848.0,18817.92
PI0000067,2024-01-29,Core,LATAM,control,165.0,165.0,149,24585.0,13275.9
PI0000068,2024-01-29,Core,APAC,control,165.0,165.0,175,28875.0,15592.5
PI0000069,2024-01-29,Add-on,North America,price_up_10,92.0,101.2,167,16900.4,10140.24
PI0000070,2024-01-29,Add-on,EMEA,price_down_10,92.0,82.8,204,16891.2,10134.72
PI0000071,2024-01-29,Add-on,LATAM,price_down_10,92.0,82.8,139,11509.2,6905.52
PI0000072,2024-01-29,Add-on,APAC,control,92.0,92.0,144,13248.0,7948.8
PI0000073,2024-01-29,Premium,North America,price_down_10,305.0,274.5,130,35685.0,13560.3
PI0000074,2024-01-29,Premium,EMEA,price_down_10,305.0,274.5,127,34861.5,13247.37
PI0000075,2024-01-29,Premium,LATAM,price_down_10,305.0,274.5,56,15372.0,5841.36
PI0000076,2024-01-29,Premium,APAC,price_down_10,305.0,274.5,70,19215.0,7301.7
PI0000077,2024-01-29,Services,North America,price_up_10,388.0,426.8,67,28595.6,8864.64
PI0000078,2024-01-29,Services,EMEA,price_down_10,388.0,349.2,70,24444.0,7577.64
PI0000079,2024-01-29,Services,LATAM,control,388.0,388.0,38,14744.0,4570.64
PI0000080,2024-01-29,Services,APAC,price_down_10,388.0,349.2,45,15714.0,4871.34
PI0000081,2024-02-05,Core,North America,price_up_10,165.0,181.5,263,47734.5,25776.63
PI0000082,2024-02-05,Core,EMEA,price_up_10,165.0,181.5,196,35574.0,19209.96
PI0000083,2024-02-05,Core,LATAM,price_down_10,165.0,148.5,158,23463.0,12670.02
PI0000084,2024-02-05,Core,APAC,control,165.0,165.0,184,30360.0,16394.4
PI0000085,2024-02-05,Add-on,North America,price_up_10,92.0,101.2,200,20240.0,12144.0
PI0000086,2024-02-05,Add-on,EMEA,price_down_10,92.0,82.8,179,14821.2,8892.72
PI0000087,2024-02-05,Add-on,LATAM,price_down_10,92.0,82.8,109,9025.2,5415.12
PI0000088,2024-02-05,Add-on,APAC,price_down_10,92.0,82.8,170,14076.0,8445.6
PI0000089,2024-02-05,Premium,North America,price_down_10,305.0,274.5,121,33214.5,12621.51
PI0000090,2024-02-05,Premium,EMEA,price_up_10,305.0,335.5,69,23149.5,8796.81
PI0000091,2024-02-05,Premium,LATAM,price_down_10,305.0,274.5,69,18940.5,7197.39
PI0000092,2024-02-05,Premium,APAC,price_down_10,305.0,274.5,81,22234.5,8449.11
PI0000093,2024-02-05,Services,North America,control,388.0,388.0,82,31816.0,9862.96
PI0000094,2024-02-05,Services,EMEA,control,388.0,388.0,51,19788.0,6134.28
PI0000095,2024-02-05,Services,LATAM,price_up_10,388.0,426.8,30,12804.0,3969.24
PI0000096,2024-02-05,Services,APAC,control,388.0,388.0,44,17072.0,5292.32
PI0000097,2024-02-12,Core,North America,control,165.0,165.0,307,50655.0,27353.7
PI0000098,2024-02-12,Core,EMEA,control,165.0,165.0,223,36795.0,19869.3
PI0000099,2024-02-12,Core,LATAM,price_down_10,165.0,148.5,172,25542.0,13792.68
PI0000100,2024-02-12,Core,APAC,price_down_10,165.0,148.5,204,30294.0,16358.76
PI0000101,2024-02-12,Add-on,North America,price_up_10,92.0,101.2,172,17406.4,10443.84
PI0000102,2024-02-12,Add-on,EMEA,price_up_10,92.0,101.2,168,17001.6,10200.96
PI0000103,2024-02-12,Add-on,LATAM,price_up_10,92.0,101.2,121,12245.2,7347.12
PI0000104,2024-02-12,Add-on,APAC,control,92.0,92.0,140,12880.0,7728.0
PI0000105,2024-02-12,Premium,North America,control,305.0,305.0,112,34160.0,12980.8
PI0000106,2024-02-12,Premium,EMEA,price_down_10,305.0,274.5,100,27450.0,10431.0
PI0000107,2024-02-12,Premium,LATAM,price_up_10,305.0,335.5,47,15768.5,5992.03
PI0000108,2024-02-12,Premium,APAC,price_up_10,305.0,335.5,59,19794.5,7521.91
PI0000109,2024-02-12,Services,North America,control,388.0,388.0,65,25220.0,7818.2
PI0000110,2024-02-12,Services,EMEA,price_down_10,388.0,349.2,52,18158.4,5629.1
PI0000111,2024-02-12,Services,LATAM,price_up_10,388.0,426.8,36,15364.8,4763.09
PI0000112,2024-02-12,Services,APAC,price_down_10,388.0,349.2,52,18158.4,5629.1
PI0000113,2024-02-19,Core,North America,price_down_10,165.0,148.5,368,54648.0,29509.92
PI0000114,2024-02-19,Core,EMEA,control,165.0,165.0,254,41910.0,22631.4
PI0000115,2024-02-19,Core,LATAM,control,165.0,165.0,161,26565.0,14345.1
PI0000116,2024-02-19,Core,APAC,control,165.0,165.0,194,32010.0,17285.4
PI0000117,2024-02-19,Add-on,North America,price_down_10,92.0,82.8,209,17305.2,10383.12
PI0000118,2024-02-19,Add-on,EMEA,price_down_10,92.0,82.8,194,16063.2,9637.92
PI0000119,2024-02-19,Add-on,LATAM,price_up_10,92.0,101.2,112,11334.4,6800.64
PI0000120,2024-02-19,Add-on,APAC,price_down_10,92.0,82.8,176,14572.8,8743.68
PI0000121,2024-02-19,Premium,North America,price_down_10,305.0,274.5,136,37332.0,14186.16
PI0000122,2024-02-19,Premium,EMEA,control,305.0,305.0,85,25925.0,9851.5
PI0000123,2024-02-19,Premium,LATAM,price_down_10,305.0,274.5,62,17019.0,6467.22
PI0000124,2024-02-19,Premium,APAC,price_down_10,305.0,274.5,78,21411.0,8136.18
PI0000125,2024-02-19,Services,North America,price_up_10,388.0,426.8,73,31156.4,9658.48
PI0000126,2024-02-19,Services,EMEA,price_up_10,388.0,426.8,54,23047.2,7144.63
PI0000127,2024-02-19,Services,LATAM,price_up_10,388.0,426.8,40,17072.0,5292.32
PI0000128,2024-02-19,Services,APAC,price_up_10,388.0,426.8,49,20913.2,6483.09
PI0000129,2024-02-26,Core,North America,control,165.0,165.0,268,44220.0,23878.8
PI0000130,2024-02-26,Core,EMEA,control,165.0,165.0,280,46200.0,24948.0
PI0000131,2024-02-26,Core,LATAM,control,165.0,165.0,189,31185.0,16839.9
PI0000132,2024-02-26,Core,APAC,price_down_10,165.0,148.5,229,34006.5,18363.51
PI0000133,2024-02-26,Add-on,North America,control,92.0,92.0,192,17664.0,10598.4
PI0000134,2024-02-26,Add-on,EMEA,price_down_10,92.0,82.8,197,16311.6,9786.96
PI0000135,2024-02-26,Add-on,LATAM,price_down_10,92.0,82.8,122,10101.6,6060.96
PI0000136,2024-02-26,Add-on,APAC,price_down_10,92.0,82.8,149,12337.2,7402.32
PI0000137,2024-02-26,Premium,North America,price_up_10,305.0,335.5,97,32543.5,12366.53
PI0000138,2024-02-26,Premium,EMEA,price_up_10,305.0,335.5,80,26840.0,10199.2
PI0000139,2024-02-26,Premium,LATAM,control,305.0,305.0,79,24095.0,9156.1
PI0000140,2024-02-26,Premium,APAC,price_up_10,305.0,335.5,76,25498.0,9689.24
PI0000141,2024-02-26,Services,North America,price_up_10,388.0,426.8,72,30729.6,9526.18
PI0000142,2024-02-26,Services,EMEA,price_down_10,388.0,349.2,62,21650.4,6711.62
PI0000143,2024-02-26,Services,LATAM,price_up_10,388.0,426.8,38,16218.4,5027.7
PI0000144,2024-02-26,Services,APAC,price_up_10,388.0,426.8,48,20486.4,6350.78
PI0000145,2024-03-04,Core,North America,price_up_10,165.0,181.5,249,45193.5,24404.49
PI0000146,2024-03-04,Core,EMEA,price_down_10,165.0,148.5,280,41580.0,22453.2
PI0000147,2024-03-04,Core,LATAM,price_down_10,165.0,148.5,210,31185.0,16839.9
PI0000148,2024-03-04,Core,APAC,price_down_10,165.0,148.5,245,36382.5,19646.55
PI0000149,2024-03-04,Add-on,North America,price_up_10,92.0,101.2,209,21150.8,12690.48
PI0000150,2024-03-04,Add-on,EMEA,price_up_10,92.0,101.2,136,13763.2,8257.92
PI0000151,2024-03-04,Add-on,LATAM,price_down_10,92.0,82.8,123,10184.4,6110.64
PI0000152,2024-03-04,Add-on,APAC,control,92.0,92.0,140,12880.0,7728.0
PI0000153,2024-03-04,Premium,North America,price_down_10,305.0,274.5,91,24979.5,9492.21
PI0000154,2024-03-04,Premium,EMEA,price_up_10,305.0,335.5,103,34556.5,13131.47
PI0000155,2024-03-04,Premium,LATAM,control,305.0,305.0,56,17080.0,6490.4
PI0000156,2024-03-04,Premium,APAC,control,305.0,305.0,68,20740.0,7881.2
PI0000157,2024-03-04,Services,North America,price_down_10,388.0,349.2,80,27936.0,8660.16
PI0000158,2024-03-04,Services,EMEA,price_down_10,388.0,349.2,68,23745.6,7361.14
PI0000159,2024-03-04,Services,LATAM,control,388.0,388.0,28,10864.0,3367.84
PI0000160,2024-03-04,Services,APAC,price_down_10,388.0,349.2,59,20602.8,6386.87
PI0000161,2024-03-11,Core,North America,price_up_10,165.0,181.5,254,46101.0,24894.54
PI0000162,2024-03-11,Core,EMEA,price_up_10,165.0,181.5,229,41563.5,22444.29
PI0000163,2024-03-11,Core,LATAM,control,165.0,165.0,150,24750.0,13365.0
PI0000164,2024-03-11,Core,APAC,control,165.0,165.0,225,37125.0,20047.5
PI0000165,2024-03-11,Add-on,North America,control,92.0,92.0,177,16284.0,9770.4
PI0000166,2024-03-11,Add-on,EMEA,control,92.0,92.0,153,14076.0,8445.6
PI0000167,2024-03-11,Add-on,LATAM,price_down_10,92.0,82.8,124,10267.2,6160.32
PI0000168,2024-03-11,Add-on,APAC,price_down_10,92.0,82.8,157,12999.6,7799.76
PI0000169,2024-03-11,Premium,North America,price_up_10,305.0,335.5,107,35898.5,13641.43
PI0000170,2024-03-11,Premium,EMEA,price_up_10,305.0,335.5,91,30530.5,11601.59
PI0000171,2024-03-11,Premium,LATAM,price_down_10,305.0,274.5,65,17842.5,6780.15
PI0000172,2024-03-11,Premium,APAC,price_up_10,305.0,335.5,64,21472.0,8159.36
PI0000173,2024-03-11,Services,North America,price_up_10,388.0,426.8,67,28595.6,8864.64
PI0000174,2024-03-11,Services,EMEA,control,388.0,388.0,54,20952.0,6495.12
PI0000175,2024-03-11,Services,LATAM,control,388.0,388.0,29,11252.0,3488.12
PI0000176,2024-03-11,Services,APAC,price_up_10,388.0,426.8,44,18779.2,5821.55
PI0000177,2024-03-18,Core,North America,price_down_10,165.0,148.5,364,54054.0,29189.16
PI0000178,2024-03-18,Core,EMEA,control,165.0,165.0,287,47355.0,25571.7
PI0000179,2024-03-18,Core,LATAM,control,165.0,165.0,131,21615.0,11672.1
PI0000180,2024-03-18,Core,APAC,price_down_10,165.0,148.5,208,30888.0,16679.52
PI0000181,2024-03-18,Add-on,North America,price_up_10,92.0,101.2,149,15078.8,9047.28
PI0000182,2024-03-18,Add-on,EMEA,control,92.0,92.0,176,16192.0,9715.2
PI0000183,2024-03-18,Add-on,LATAM,control,92.0,92.0,107,9844.0,5906.4
PI0000184,2024-03-18,Add-on,APAC,price_up_10,92.0,101.2,124,12548.8,7529.28
PI0000185,2024-03-18,Premium,North America,price_down_10,305.0,274.5,97,26626.5,10118.07
PI0000186,2024-03-18,Premium,EMEA,price_up_10,305.0,335.5,86,28853.0,10964.14
PI0000187,2024-03-18,Premium,LATAM,price_down_10,305.0,274.5,56,15372.0,5841.36
PI0000188,2024-03-18,Premium,APAC,control,305.0,305.0,65,19825.0,7533.5
PI0000189,2024-03-18,Services,North America,control,388.0,388.0,74,28712.0,8900.72
PI0000190,2024-03-18,Services,EMEA,control,388.0,388.0,102,39576.0,12268.56
PI0000191,2024-03-18,Services,LATAM,price_down_10,388.0,349.2,38,13269.6,4113.58
PI0000192,2024-03-18,Services,APAC,price_down_10,388.0,349.2,52,18158.4,5629.1
PI0000193,2024-03-25,Core,North America,control,165.0,165.0,331,54615.0,29492.1
PI0000194,2024-03-25,Core,EMEA,price_up_10,165.0,181.5,242,43923.0,23718.42
PI0000195,2024-03-25,Core,LATAM,price_down_10,165.0,148.5,187,27769.5,14995.53
PI0000196,2024-03-25,Core,APAC,price_up_10,165.0,181.5,177,32125.5,17347.77
PI0000197,2024-03-25,Add-on,North America,price_down_10,92.0,82.8,244,20203.2,12121.92
PI0000198,2024-03-25,Add-on,EMEA,price_down_10,92.0,82.8,190,15732.0,9439.2
PI0000199,2024-03-25,Add-on,LATAM,control,92.0,92.0,92,8464.0,5078.4
PI0000200,2024-03-25,Add-on,APAC,price_down_10,92.0,82.8,154,12751.2,7650.72
PI0000201,2024-03-25,Premium,North America,control,305.0,305.0,120,36600.0,13908.0
PI0000202,2024-03-25,Premium,EMEA,control,305.0,305.0,95,28975.0,11010.5
PI0000203,2024-03-25,Premium,LATAM,price_down_10,305.0,274.5,52,14274.0,5424.12
PI0000204,2024-03-25,Premium,APAC,price_up_10,305.0,335.5,73,24491.5,9306.77
PI0000205,2024-03-25,Services,North America,price_down_10,388.0,349.2,70,24444.0,7577.64
PI0000206,2024-03-25,Services,EMEA,price_up_10,388.0,426.8,64,27315.2,8467.71
PI0000207,2024-03-25,Services,LATAM,price_up_10,388.0,426.8,33,14084.4,4366.16
PI0000208,2024-03-25,Services,APAC,control,388.0,388.0,53,20564.0,6374.84
PI0000209,2024-04-01,Core,North America,control,165.0,165.0,330,54450.0,29403.0
PI0000210,2024-04-01,Core,EMEA,price_down_10,165.0,148.5,305,45292.5,24457.95
PI0000211,2024-04-01,Core,LATAM,price_down_10,165.0,148.5,181,26878.5,14514.39
PI0000212,2024-04-01,Core,APAC,control,165.0,165.0,225,37125.0,20047.5
PI0000213,2024-04-01,Add-on,North America,price_down_10,92.0,82.8,217,17967.6,10780.56
PI0000214,2024-04-01,Add-on,EMEA,control,92.0,92.0,166,15272.0,9163.2
PI0000215,2024-04-01,Add-on,LATAM,control,92.0,92.0,145,13340.0,8004.0
PI0000216,2024-04-01,Add-on,APAC,control,92.0,92.0,131,12052.0,7231.2
PI0000217,2024-04-01,Premium,North America,price_up_10,305.0,335.5,103,34556.5,13131.47
PI0000218,2024-04-01,Premium,EMEA,price_down_10,305.0,274.5,117,32116.5,12204.27
PI0000219,2024-04-01,Premium,LATAM,price_down_10,305.0,274.5,79,21685.5,8240.49
PI0000220,2024-04-01,Premium,APAC,price_down_10,305.0,274.5,82,22509.0,8553.42
PI0000221,2024-04-01,Services,North America,control,388.0,388.0,55,21340.0,6615.4
PI0000222,2024-04-01,Services,EMEA,price_down_10,388.0,349.2,67,23396.4,7252.88
PI0000223,2024-04-01,Services,LATAM,price_down_10,388.0,349.2,40,13968.0,4330.08
PI0000224,2024-04-01,Services,APAC,price_down_10,388.0,349.2,53,18507.6,5737.36
PI0000225,2024-04-08,Core,North America,price_up_10,165.0,181.5,307,55720.5,30089.07
PI0000226,2024-04-08,Core,EMEA,price_down_10,165.0,148.5,302,44847.0,24217.38
PI0000227,2024-04-08,Core,LATAM,price_down_10,165.0,148.5,183,27175.5,14674.77
PI0000228,2024-04-08,Core,APAC,control,165.0,165.0,204,33660.0,18176.4
PI0000229,2024-04-08,Add-on,North America,price_up_10,92.0,101.2,183,18519.6,11111.76
PI0000230,2024-04-08,Add-on,EMEA,control,92.0,92.0,192,17664.0,10598.4
PI0000231,2024-04-08,Add-on,LATAM,price_down_10,92.0,82.8,111,9190.8,5514.48
PI0000232,2024-04-08,Add-on,APAC,control,92.0,92.0,181,16652.0,9991.2
PI0000233,2024-04-08,Premium,North America,price_up_10,305.0,335.5,93,31201.5,11856.57
PI0000234,2024-04-08,Premium,EMEA,price_up_10,305.0,335.5,79,26504.5,10071.71
PI0000235,2024-04-08,Premium,LATAM,control,305.0,305.0,60,18300.0,6954.0
PI0000236,2024-04-08,Premium,APAC,price_down_10,305.0,274.5,73,20038.5,7614.63
PI0000237,2024-04-08,Services,North America,control,388.0,388.0,68,26384.0,8179.04
PI0000238,2024-04-08,Services,EMEA,price_up_10,388.0,426.8,51,21766.8,6747.71
PI0000239,2024-04-08,Services,LATAM,price_up_10,388.0,426.8,45,19206.0,5953.86
PI0000240,2024-04-08,Services,APAC,control,388.0,388.0,43,16684.0,5172.04
PI0000241,2024-04-15,Core,North America,price_up_10,165.0,181.5,242,43923.0,23718.42
PI0000242,2024-04-15,Core,EMEA,control,165.0,165.0,298,49170.0,26551.8
PI0000243,2024-04-15,Core,LATAM,price_down_10,165.0,148.5,190,28215.0,15236.1
PI0000244,2024-04-15,Core,APAC,price_down_10,165.0,148.5,237,35194.5,19005.03
PI0000245,2024-04-15,Add-on,North America,price_up_10,92.0,101.2,182,18418.4,11051.04
PI0000246,2024-04-15,Add-on,EMEA,price_down_10,92.0,82.8,189,15649.2,9389.52
PI0000247,2024-04-15,Add-on,LATAM,price_up_10,92.0,101.2,76,7691.2,4614.72
PI0000248,2024-04-15,Add-on,APAC,price_up_10,92.0,101.2,146,14775.2,8865.12
PI0000249,2024-04-15,Premium,North America,control,305.0,305.0,106,32330.0,12285.4
PI0000250,2024-04-15,Premium,EMEA,price_up_10,305.0,335.5,84,28182.0,10709.16
PI0000251,2024-04-15,Premium,LATAM,price_up_10,305.0,335.5,56,18788.0,7139.44
PI0000252,2024-04-15,Premium,APAC,price_down_10,305.0,274.5,84,23058.0,8762.04
PI0000253,2024-04-15,Services,North America,price_up_10,388.0,426.8,69,29449.2,9129.25
PI0000254,2024-04-15,Services,EMEA,price_up_10,388.0,426.8,55,23474.0,7276.94
PI0000255,2024-04-15,Services,LATAM,control,388.0,388.0,45,17460.0,5412.6
PI0000256,2024-04-15,Services,APAC,control,388.0,388.0,41,15908.0,4931.48
PI0000257,2024-04-22,Core,North America,price_up_10,165.0,181.5,295,53542.5,28912.95
PI0000258,2024-04-22,Core,EMEA,price_up_10,165.0,181.5,215,39022.5,21072.15
PI0000259,2024-04-22,Core,LATAM,price_down_10,165.0,148.5,190,28215.0,15236.1
PI0000260,2024-04-22,Core,APAC,price_up_10,165.0,181.5,168,30492.0,16465.68
PI0000261,2024-04-22,Add-on,North America,control,92.0,92.0,232,21344.0,12806.4
PI0000262,2024-04-22,Add-on,EMEA,price_up_10,92.0,101.2,152,15382.4,9229.44
PI0000263,2024-04-22,Add-on,LATAM,price_down_10,92.0,82.8,148,12254.4,7352.64
PI0000264,2024-04-22,Add-on,APAC,price_down_10,92.0,82.8,143,11840.4,7104.24
PI0000265,2024-04-22,Premium,North America,control,305.0,305.0,118,35990.0,13676.2
PI0000266,2024-04-22,Premium,EMEA,price_down_10,305.0,274.5,94,25803.0,9805.14
PI0000267,2024-04-22,Premium,LATAM,price_up_10,305.0,335.5,57,19123.5,7266.93
PI0000268,2024-04-22,Premium,APAC,control,305.0,305.0,52,15860.0,6026.8
PI0000269,2024-04-22,Services,North America,price_down_10,388.0,349.2,71,24793.2,7685.89
PI0000270,2024-04-22,Services,EMEA,price_up_10,388.0,426.8,53,22620.4,7012.32
PI0000271,2024-04-22,Services,LATAM,price_down_10,388.0,349.2,42,14666.4,4546.58
PI0000272,2024-04-22,Services,APAC,price_up_10,388.0,426.8,39,16645.2,5160.01
PI0000273,2024-04-29,Core,North America,price_up_10,165.0,181.5,296,53724.0,29010.96
PI0000274,2024-04-29,Core,EMEA,price_up_10,165.0,181.5,210,38115.0,20582.1
PI0000275,2024-04-29,Core,LATAM,control,165.0,165.0,150,24750.0,13365.0
PI0000276,2024-04-29,Core,APAC,price_up_10,165.0,181.5,153,27769.5,14995.53
PI0000277,2024-04-29,Add-on,North America,price_up_10,92.0,101.2,175,17710.0,10626.0
PI0000278,2024-04-29,Add-on,EMEA,price_down_10,92.0,82.8,214,17719.2,10631.52
PI0000279,2024-04-29,Add-on,LATAM,control,92.0,92.0,89,8188.0,4912.8
PI0000280,2024-04-29,Add-on,APAC,price_up_10,92.0,101.2,106,10727.2,6436.32
PI0000281,2024-04-29,Premium,North America,control,305.0,305.0,109,33245.0,12633.1
PI0000282,2024-04-29,Premium,EMEA,control,305.0,305.0,89,27145.0,10315.1
PI0000283,2024-04-29,Premium,LATAM,price_up_10,305.0,335.5,48,16104.0,6119.52
PI0000284,2024-04-29,Premium,APAC,control,305.0,305.0,77,23485.0,8924.3
PI0000285,2024-04-29,Services,North America,price_down_10,388.0,349.2,96,33523.2,10392.19
PI0000286,2024-04-29,Services,EMEA,price_up_10,388.0,426.8,60,25608.0,7938.48
PI0000287,2024-04-29,Services,LATAM,price_up_10,388.0,426.8,37,15791.6,4895.4
PI0000288,2024-04-29,Services,APAC,price_down_10,388.0,349.2,72,25142.4,7794.14
PI0000289,2024-05-06,Core,North America,price_down_10,165.0,148.5,362,53757.0,29028.78
PI0000290,2024-05-06,Core,EMEA,price_up_10,165.0,181.5,193,35029.5,18915.93
PI0000291,2024-05-06,Core,LATAM,control,165.0,165.0,178,29370.0,15859.8
PI0000292,2024-05-06,Core,APAC,control,165.0,165.0,200,33000.0,17820.0
PI0000293,2024-05-06,Add-on,North America,price_up_10,92.0,101.2,192,19430.4,11658.24
PI0000294,2024-05-06,Add-on,EMEA,price_up_10,92.0,101.2,177,17912.4,10747.44
PI0000295,2024-05-06,Add-on,LATAM,price_up_10,92.0,101.2,71,7185.2,4311.12
PI0000296,2024-05-06,Add-on,APAC,control,92.0,92.0,162,14904.0,8942.4
PI0000297,2024-05-06,Premium,North America,price_up_10,305.0,335.5,107,35898.5,13641.43
PI0000298,2024-05-06,Premium,EMEA,price_up_10,305.0,335.5,98,32879.0,12494.02
PI0000299,2024-05-06,Premium,LATAM,price_up_10,305.0,335.5,65,21807.5,8286.85
PI0000300,2024-05-06,Premium,APAC,price_down_10,305.0,274.5,93,25528.5,9700.83
PI0000301,2024-05-06,Services,North America,price_down_10,388.0,349.2,73,25491.6,7902.4
PI0000302,2024-05-06,Services,EMEA,control,388.0,388.0,60,23280.0,7216.8
PI0000303,2024-05-06,Services,LATAM,control,388.0,388.0,40,15520.0,4811.2
